phase,workload,nodes,edges,sample,nanos,allocations,allocated_bytes,checksum
adapter_setup,current_thread_runtime,0,0,0,7125,0,0,0
adapter_setup,current_thread_runtime,0,0,1,5167,0,0,0
adapter_setup,current_thread_runtime,0,0,2,2833,0,0,0
adapter_setup,current_thread_runtime,0,0,3,2625,0,0,0
adapter_setup,current_thread_runtime,0,0,4,2417,0,0,0
adapter_setup,current_thread_runtime,0,0,5,2833,0,0,0
adapter_setup,current_thread_runtime,0,0,6,2375,0,0,0
adapter_setup,current_thread_runtime,0,0,7,4583,0,0,0
adapter_setup,current_thread_runtime,0,0,8,2625,0,0,0
adapter_setup,current_thread_runtime,0,0,9,2708,0,0,0
adapter_setup,current_thread_runtime,0,0,10,2500,0,0,0
adapter_setup,current_thread_runtime,0,0,11,6334,0,0,0
adapter_setup,current_thread_runtime,0,0,12,4833,0,0,0
adapter_setup,current_thread_runtime,0,0,13,2708,0,0,0
adapter_setup,current_thread_runtime,0,0,14,2458,0,0,0
adapter_setup,current_thread_runtime,0,0,15,2333,0,0,0
adapter_setup,current_thread_runtime,0,0,16,2375,0,0,0
adapter_setup,current_thread_runtime,0,0,17,4333,0,0,0
adapter_setup,current_thread_runtime,0,0,18,2625,0,0,0
adapter_setup,current_thread_runtime,0,0,19,2542,0,0,0
adapter_setup,current_thread_runtime,0,0,20,2292,0,0,0
adapter_setup,current_thread_runtime,0,0,21,2417,0,0,0
adapter_setup,current_thread_runtime,0,0,22,2334,0,0,0
adapter_setup,current_thread_runtime,0,0,23,2375,0,0,0
adapter_setup,current_thread_runtime,0,0,24,2375,0,0,0
adapter_setup,current_thread_runtime,0,0,25,2250,0,0,0
adapter_setup,current_thread_runtime,0,0,26,2291,0,0,0
adapter_setup,current_thread_runtime,0,0,27,2333,0,0,0
adapter_setup,current_thread_runtime,0,0,28,2333,0,0,0
adapter_setup,current_thread_runtime,0,0,29,4375,0,0,0
adapter_setup,current_thread_runtime,0,0,30,2542,0,0,0
adapter_setup,current_thread_runtime,0,0,31,2333,0,0,0
adapter_setup,current_thread_runtime,0,0,32,2209,0,0,0
adapter_setup,current_thread_runtime,0,0,33,2292,0,0,0
adapter_setup,current_thread_runtime,0,0,34,2375,0,0,0
adapter_setup,current_thread_runtime,0,0,35,2208,0,0,0
adapter_setup,current_thread_runtime,0,0,36,2292,0,0,0
adapter_setup,current_thread_runtime,0,0,37,2250,0,0,0
adapter_setup,current_thread_runtime,0,0,38,2375,0,0,0
adapter_setup,current_thread_runtime,0,0,39,2292,0,0,0
fixture_generation,graph_chain,1,0,0,584,0,0,5
fixture_generation,graph_chain,1,0,1,291,0,0,5
fixture_generation,graph_chain,1,0,2,333,0,0,5
fixture_generation,graph_chain,1,0,3,291,0,0,5
fixture_generation,graph_chain,1,0,4,292,0,0,5
fixture_generation,graph_chain,1,0,5,250,0,0,5
fixture_generation,graph_chain,1,0,6,250,0,0,5
fixture_generation,graph_chain,1,0,7,250,0,0,5
fixture_generation,graph_chain,1,0,8,292,0,0,5
fixture_generation,graph_chain,1,0,9,292,0,0,5
fixture_generation,graph_chain,1,0,10,1958,0,0,5
