phase,workload,nodes,edges,samples,median_ns,p95_ns,min_ns,max_ns,allocations,allocated_bytes
adapter_setup,current_thread_runtime,0,0,40,2396,5167,2208,7125,0,0
body_state_setup,graph_chain,1,0,40,250,291,208,375,0,0
body_state_setup,graph_chain,10,9,40,396,667,208,709,0,0
body_state_setup,graph_chain,100,99,40,458,500,375,583,0,0
body_state_setup,graph_chain,1000,999,40,1917,2208,1750,2875,0,0
body_state_setup,graph_sparse,1,0,40,542,625,458,666,0,0
body_state_setup,graph_sparse,10,9,40,500,584,416,667,0,0
body_state_setup,graph_sparse,100,99,40,416,500,334,541,0,0
body_state_setup,graph_sparse,1000,999,40,1750,2042,1708,2292,0,0
body_state_setup,graph_wide,1,0,40,583,625,500,625,0,0
body_state_setup,graph_wide,10,9,40,500,625,417,708,0,0
body_state_setup,graph_wide,100,99,40,458,500,334,542,0,0
body_state_setup,graph_wide,1000,999,40,1792,3000,1708,4500,0,0
body_state_setup,tiny_yield_chain,1,0,40,250,334,208,375,0,0
engine_execution,component_flat,10,9,40,30541,36583,29541,55792,0,0
engine_execution,component_flat,100,99,40,359771,375000,331917,388625,0,0
engine_execution,component_nested,13,12,40,41125,41500,40583,41625,0,0
engine_execution,component_nested,103,102,40,371125,382958,365875,451833,0,0
engine_execution,dynamic_live_instances_1,3,2,40,25666,26125,25292,28583,0,0
engine_execution,dynamic_live_instances_10,3,2,40,191979,195084,190709,212333,0,0
engine_execution,dynamic_live_instances_100,3,2,40,4887958,5471500,4374917,5996042,0,0
engine_execution,effect_known_receipt,1,0,40,7479,7666,7250,7708,0,0
engine_execution,graph_chain,1,0,40,4916,5125,4750,6208,0,0
engine_execution,graph_chain,10,9,40,29458,32917,26708,33417,0,0
engine_execution,graph_chain,100,99,40,381833,523209,333166,568417,0,0
engine_execution,graph_chain,1000,999,40,15289062,17031792,14241750,17578791,0,0
engine_execution,graph_sparse,1,0,40,11395,11666,11166,11834,0,0
engine_execution,graph_sparse,10,9,40,29333,58542,28708,59125,0,0
engine_execution,graph_sparse,100,99,40,327416,335875,310792,393125,0,0
engine_execution,graph_sparse,1000,999,40,13705729,14222583,13062500,14381750,0,0
engine_execution,graph_wide,1,0,40,4792,11500,4583,11500,0,0
engine_execution,graph_wide,10,9,40,55792,56667,27500,56750,0,0
engine_execution,graph_wide,100,99,40,301937,341666,281875,346291,0,0
engine_execution,graph_wide,1000,999,40,11414688,12775833,9326792,26786333,0,0
engine_execution,resident_ready_shutdown,1,0,40,7083,7208,6875,7209,0,0
engine_execution,resource_cancel_after_acquire,1,0,40,8104,9166,7833,14583,0,0
engine_execution,resource_cleanup_error_upstream,3,1,40,15708,15875,15333,16041,0,0
engine_execution,resource_normal,2,1,40,11542,12041,10167,14041,0,0
engine_execution,resource_release_failure,2,1,40,12167,13875,11458,15500,0,0
engine_execution,resource_startup_failure,2,1,40,11750,12167,11458,12333,0,0
