phase,workload,nodes,edges,sample,nanos,allocations,allocated_bytes,checksum
adapter_setup,current_thread_runtime,0,0,0,20408,0,0,0
adapter_setup,current_thread_runtime,0,0,1,2055,0,0,0
adapter_setup,current_thread_runtime,0,0,2,1907,0,0,0
adapter_setup,current_thread_runtime,0,0,3,1833,0,0,0
adapter_setup,current_thread_runtime,0,0,4,1852,0,0,0
adapter_setup,current_thread_runtime,0,0,5,1815,0,0,0
adapter_setup,current_thread_runtime,0,0,6,1815,0,0,0
adapter_setup,current_thread_runtime,0,0,7,1944,0,0,0
adapter_setup,current_thread_runtime,0,0,8,1926,0,0,0
adapter_setup,current_thread_runtime,0,0,9,2777,0,0,0
adapter_setup,current_thread_runtime,0,0,10,3093,0,0,0
adapter_setup,current_thread_runtime,0,0,11,2130,0,0,0
adapter_setup,current_thread_runtime,0,0,12,2186,0,0,0
adapter_setup,current_thread_runtime,0,0,13,2148,0,0,0
adapter_setup,current_thread_runtime,0,0,14,2037,0,0,0
adapter_setup,current_thread_runtime,0,0,15,2019,0,0,0
adapter_setup,current_thread_runtime,0,0,16,2037,0,0,0
adapter_setup,current_thread_runtime,0,0,17,1926,0,0,0
adapter_setup,current_thread_runtime,0,0,18,2129,0,0,0
adapter_setup,current_thread_runtime,0,0,19,1981,0,0,0
adapter_setup,current_thread_runtime,0,0,20,2018,0,0,0
adapter_setup,current_thread_runtime,0,0,21,2056,0,0,0
adapter_setup,current_thread_runtime,0,0,22,2056,0,0,0
adapter_setup,current_thread_runtime,0,0,23,3130,0,0,0
adapter_setup,current_thread_runtime,0,0,24,2186,0,0,0
adapter_setup,current_thread_runtime,0,0,25,2000,0,0,0
adapter_setup,current_thread_runtime,0,0,26,4371,0,0,0
adapter_setup,current_thread_runtime,0,0,27,2000,0,0,0
adapter_setup,current_thread_runtime,0,0,28,2148,0,0,0
adapter_setup,current_thread_runtime,0,0,29,1982,0,0,0
adapter_setup,current_thread_runtime,0,0,30,2166,0,0,0
adapter_setup,current_thread_runtime,0,0,31,1981,0,0,0
