phase,workload,nodes,edges,samples,median_ns,p95_ns,min_ns,max_ns,allocations,allocated_bytes
adapter_setup,current_thread_runtime,0,0,40,2019,3130,1815,20408,0,0
body_state_setup,graph_chain,1,0,40,398,1000,333,1685,0,0
body_state_setup,graph_chain,10,9,40,370,407,333,630,0,0
body_state_setup,graph_chain,100,99,40,1861,2111,1722,2315,0,0
body_state_setup,graph_chain,1000,999,40,11676,19537,10481,48037,0,0
body_state_setup,graph_sparse,1,0,40,389,463,334,1241,0,0
body_state_setup,graph_sparse,10,9,40,444,574,352,1019,0,0
body_state_setup,graph_sparse,100,99,40,2018,2352,1834,2537,0,0
body_state_setup,graph_sparse,1000,999,40,12472,14019,11907,21186,0,0
body_state_setup,graph_wide,1,0,40,389,426,333,463,0,0
body_state_setup,graph_wide,10,9,40,463,611,370,889,0,0
body_state_setup,graph_wide,100,99,40,1916,2130,1722,3092,0,0
body_state_setup,graph_wide,1000,999,40,13037,17908,11944,20315,0,0
body_state_setup,tiny_yield_chain,1,0,40,389,426,370,556,0,0
engine_execution,component_flat,10,9,40,70648,71519,69797,77481,0,0
engine_execution,component_flat,100,99,40,909911,920337,904540,959856,0,0
engine_execution,component_nested,13,12,40,102445,103649,101093,107482,0,0
engine_execution,component_nested,103,102,40,1026087,1031689,1021374,1035467,0,0
engine_execution,dynamic_live_instances_1,3,2,40,63287,64334,62741,70167,0,0
engine_execution,dynamic_live_instances_10,3,2,40,490067,495150,487076,503261,0,0
engine_execution,dynamic_live_instances_100,3,2,40,10716235,10844838,10681022,10969320,0,0
engine_execution,effect_known_receipt,1,0,40,16833,17074,16426,17352,0,0
engine_execution,graph_chain,1,0,40,11601,11908,11297,13537,0,0
engine_execution,graph_chain,10,9,40,71435,72926,70130,73815,0,0
engine_execution,graph_chain,100,99,40,893355,915152,866578,918411,0,0
engine_execution,graph_chain,1000,999,40,44016103,45149433,42942850,45321137,0,0
engine_execution,graph_sparse,1,0,40,11602,12167,11296,33407,0,0
engine_execution,graph_sparse,10,9,40,69343,71778,67278,78278,0,0
engine_execution,graph_sparse,100,99,40,831725,838503,825818,845447,0,0
engine_execution,graph_sparse,1000,999,40,36356371,37643830,36056583,46223233,0,0
engine_execution,graph_wide,1,0,40,11648,11852,11222,12278,0,0
engine_execution,graph_wide,10,9,40,67991,70612,65444,134464,0,0
engine_execution,graph_wide,100,99,40,773576,783947,765706,823614,0,0
engine_execution,graph_wide,1000,999,40,29657669,30993637,29137964,35439154,0,0
engine_execution,resident_ready_shutdown,1,0,40,17389,17907,16778,18574,0,0
engine_execution,resource_cancel_after_acquire,1,0,40,18574,19834,18167,28629,0,0
engine_execution,resource_cleanup_error_upstream,3,1,40,36158,36574,35926,37019,0,0
engine_execution,resource_normal,2,1,40,23028,23482,22796,23612,0,0
engine_execution,resource_release_failure,2,1,40,24565,24796,24223,25037,0,0
engine_execution,resource_startup_failure,2,1,40,24148,24981,23815,34666,0,0
engine_execution,retry_one_failure,1,0,40,17639,18130,17278,21981,0,0
engine_execution,tiny_yield_chain,1,0,40,12000,12445,11815,13408,0,0
engine_execution,trace_default,100,99,40,911522,928411,906818,987929,0,0
engine_execution,trace_observer,100,99,40,914393,955504,909800,1048319,0,0
engine_execution_alloc,component_flat,10,9,0,,,,,654,66005
engine_execution_alloc,component_flat,100,99,0,,,,,5983,769127
engine_execution_alloc,component_nested,13,12,0,,,,,983,82339
engine_execution_alloc,component_nested,103,102,0,,,,,7482,838381
engine_execution_alloc,dynamic_live_instances_1,3,2,0,,,,,604,56053
engine_execution_alloc,dynamic_live_instances_10,3,2,0,,,,,4361,400240
engine_execution_alloc,dynamic_live_instances_100,3,2,0,,,,,68512,6238430
engine_execution_alloc,effect_known_receipt,1,0,0,,,,,160,18469
