phase,workload,nodes,edges,sample,nanos,allocations,allocated_bytes,checksum
adapter_setup,current_thread_runtime,0,0,0,16352,0,0,0
adapter_setup,current_thread_runtime,0,0,1,2111,0,0,0
adapter_setup,current_thread_runtime,0,0,2,2019,0,0,0
adapter_setup,current_thread_runtime,0,0,3,1908,0,0,0
adapter_setup,current_thread_runtime,0,0,4,1908,0,0,0
adapter_setup,current_thread_runtime,0,0,5,1889,0,0,0
adapter_setup,current_thread_runtime,0,0,6,1871,0,0,0
adapter_setup,current_thread_runtime,0,0,7,1926,0,0,0
adapter_setup,current_thread_runtime,0,0,8,1944,0,0,0
adapter_setup,current_thread_runtime,0,0,9,2167,0,0,0
adapter_setup,current_thread_runtime,0,0,10,2315,0,0,0
adapter_setup,current_thread_runtime,0,0,11,2222,0,0,0
adapter_setup,current_thread_runtime,0,0,12,2203,0,0,0
adapter_setup,current_thread_runtime,0,0,13,2185,0,0,0
adapter_setup,current_thread_runtime,0,0,14,2537,0,0,0
adapter_setup,current_thread_runtime,0,0,15,2722,0,0,0
adapter_setup,current_thread_runtime,0,0,16,2129,0,0,0
adapter_setup,current_thread_runtime,0,0,17,2055,0,0,0
adapter_setup,current_thread_runtime,0,0,18,2092,0,0,0
adapter_setup,current_thread_runtime,0,0,19,2130,0,0,0
adapter_setup,current_thread_runtime,0,0,20,2056,0,0,0
adapter_setup,current_thread_runtime,0,0,21,2074,0,0,0
adapter_setup,current_thread_runtime,0,0,22,2093,0,0,0
adapter_setup,current_thread_runtime,0,0,23,2056,0,0,0
adapter_setup,current_thread_runtime,0,0,24,2056,0,0,0
adapter_setup,current_thread_runtime,0,0,25,2093,0,0,0
adapter_setup,current_thread_runtime,0,0,26,2055,0,0,0
adapter_setup,current_thread_runtime,0,0,27,2685,0,0,0
adapter_setup,current_thread_runtime,0,0,28,2185,0,0,0
adapter_setup,current_thread_runtime,0,0,29,2111,0,0,0
adapter_setup,current_thread_runtime,0,0,30,2204,0,0,0
adapter_setup,current_thread_runtime,0,0,31,2055,0,0,0
adapter_setup,current_thread_runtime,0,0,32,2075,0,0,0
adapter_setup,current_thread_runtime,0,0,33,2019,0,0,0
adapter_setup,current_thread_runtime,0,0,34,2111,0,0,0
adapter_setup,current_thread_runtime,0,0,35,2093,0,0,0
adapter_setup,current_thread_runtime,0,0,36,2167,0,0,0
adapter_setup,current_thread_runtime,0,0,37,2056,0,0,0
adapter_setup,current_thread_runtime,0,0,38,2074,0,0,0
adapter_setup,current_thread_runtime,0,0,39,2074,0,0,0
fixture_generation,graph_chain,1,0,0,482,0,0,5
fixture_generation,graph_chain,1,0,1,277,0,0,5
fixture_generation,graph_chain,1,0,2,241,0,0,5
fixture_generation,graph_chain,1,0,3,240,0,0,5
fixture_generation,graph_chain,1,0,4,259,0,0,5
fixture_generation,graph_chain,1,0,5,241,0,0,5
fixture_generation,graph_chain,1,0,6,259,0,0,5
fixture_generation,graph_chain,1,0,7,241,0,0,5
fixture_generation,graph_chain,1,0,8,259,0,0,5
fixture_generation,graph_chain,1,0,9,241,0,0,5
fixture_generation,graph_chain,1,0,10,223,0,0,5
fixture_generation,graph_chain,1,0,11,259,0,0,5
fixture_generation,graph_chain,1,0,12,315,0,0,5
fixture_generation,graph_chain,1,0,13,241,0,0,5
fixture_generation,graph_chain,1,0,14,259,0,0,5
fixture_generation,graph_chain,1,0,15,278,0,0,5
fixture_generation,graph_chain,1,0,16,222,0,0,5
fixture_generation,graph_chain,1,0,17,241,0,0,5
fixture_generation,graph_chain,1,0,18,241,0,0,5
fixture_generation,graph_chain,1,0,19,222,0,0,5
plan_build,graph_chain,1,0,0,2889,0,0,11
plan_build,graph_chain,1,0,1,1315,0,0,11
