phase,workload,nodes,edges,samples,median_ns,p95_ns,min_ns,max_ns,allocations,allocated_bytes
adapter_setup,current_thread_runtime,0,0,40,2092,2685,1871,16352,0,0
body_state_setup,graph_chain,1,0,40,389,445,315,556,0,0
body_state_setup,graph_chain,10,9,40,361,389,333,555,0,0
body_state_setup,graph_chain,100,99,40,1880,2351,1667,3352,0,0
body_state_setup,graph_chain,1000,999,40,12333,14426,11259,22056,0,0
body_state_setup,graph_sparse,1,0,40,407,445,333,463,0,0
body_state_setup,graph_sparse,10,9,40,435,537,370,667,0,0
body_state_setup,graph_sparse,100,99,40,1926,2074,1760,2482,0,0
body_state_setup,graph_sparse,1000,999,40,13537,15278,12814,21964,0,0
body_state_setup,graph_wide,1,0,40,407,426,333,445,0,0
body_state_setup,graph_wide,10,9,40,444,537,352,1000,0,0
body_state_setup,graph_wide,100,99,40,1879,2037,1722,2944,0,0
body_state_setup,graph_wide,1000,999,40,13157,14537,11870,20704,0,0
body_state_setup,tiny_yield_chain,1,0,40,398,574,371,1000,0,0
engine_execution,component_flat,10,9,40,69778,70723,68593,79926,0,0
engine_execution,component_flat,100,99,40,903262,914207,896355,944911,0,0
engine_execution,component_nested,13,12,40,100806,102741,99667,107185,0,0
engine_execution,component_nested,103,102,40,1012688,1023486,1005689,1063726,0,0
engine_execution,dynamic_live_instances_1,3,2,40,62648,63815,61797,69704,0,0
engine_execution,dynamic_live_instances_10,3,2,40,484742,491743,481724,502205,0,0
engine_execution,dynamic_live_instances_100,3,2,40,10772715,11172207,10721965,11826580,0,0
engine_execution,effect_known_receipt,1,0,40,17166,17426,16870,17722,0,0
engine_execution,graph_chain,1,0,40,11991,12222,11538,12518,0,0
engine_execution,graph_chain,10,9,40,70907,72463,69463,79500,0,0
engine_execution,graph_chain,100,99,40,882049,913614,864503,1585635,0,0
engine_execution,graph_chain,1000,999,40,43961455,45059163,43077452,45612054,0,0
engine_execution,graph_sparse,1,0,40,11731,11982,11463,12092,0,0
engine_execution,graph_sparse,10,9,40,69250,70111,66538,72426,0,0
engine_execution,graph_sparse,100,99,40,826373,835225,820873,846689,0,0
engine_execution,graph_sparse,1000,999,40,38889455,40262812,38160249,41392909,0,0
engine_execution,graph_wide,1,0,40,11778,12056,11389,12296,0,0
engine_execution,graph_wide,10,9,40,68546,69815,65723,70278,0,0
engine_execution,graph_wide,100,99,40,770253,778595,765484,784299,0,0
engine_execution,graph_wide,1000,999,40,30635314,31608263,29969702,32608581,0,0
engine_execution,resident_ready_shutdown,1,0,40,17278,17759,16889,17889,0,0
engine_execution,resource_cancel_after_acquire,1,0,40,18944,20185,18407,29926,0,0
engine_execution,resource_cleanup_error_upstream,3,1,40,36260,36889,35704,43038,0,0
engine_execution,resource_normal,2,1,40,23333,23926,23055,40630,0,0
engine_execution,resource_release_failure,2,1,40,24629,24870,24148,25112,0,0
engine_execution,resource_startup_failure,2,1,40,24537,25537,24185,27371,0,0
engine_execution,retry_one_failure,1,0,40,17592,17889,17277,18018,0,0
engine_execution,tiny_yield_chain,1,0,40,12037,12426,11870,15315,0,0
engine_execution,trace_default,100,99,40,903716,914558,895614,1016448,0,0
engine_execution,trace_observer,100,99,40,904290,924392,898226,934744,0,0
engine_execution_alloc,component_flat,10,9,0,,,,,654,66005
engine_execution_alloc,component_flat,100,99,0,,,,,5983,769127
engine_execution_alloc,component_nested,13,12,0,,,,,983,82339
engine_execution_alloc,component_nested,103,102,0,,,,,7482,838381
engine_execution_alloc,dynamic_live_instances_1,3,2,0,,,,,604,56053
engine_execution_alloc,dynamic_live_instances_10,3,2,0,,,,,4361,400240
engine_execution_alloc,dynamic_live_instances_100,3,2,0,,,,,68512,6238430
engine_execution_alloc,effect_known_receipt,1,0,0,,,,,160,18469
engine_execution_alloc,graph_chain,1,0,0,,,,,110,15124
engine_execution_alloc,graph_chain,10,9,0,,,,,654,66005
engine_execution_alloc,graph_chain,100,99,0,,,,,5983,769127
engine_execution_alloc,graph_chain,1000,999,0,,,,,59102,28976331
engine_execution_alloc,graph_sparse,1,0,0,,,,,110,15126
engine_execution_alloc,graph_sparse,10,9,0,,,,,642,66839
engine_execution_alloc,graph_sparse,100,99,0,,,,,5838,748713
engine_execution_alloc,graph_sparse,1000,999,0,,,,,57643,25214541
engine_execution_alloc,graph_wide,1,0,0,,,,,110,15122
engine_execution_alloc,graph_wide,10,9,0,,,,,631,67859
engine_execution_alloc,graph_wide,100,99,0,,,,,5618,723205
engine_execution_alloc,graph_wide,1000,999,0,,,,,55207,21300249
engine_execution_alloc,resource_cleanup_error_upstream,3,1,0,,,,,337,30082
engine_execution_alloc,resource_normal,2,1,0,,,,,219,23034
engine_execution_alloc,resource_release_failure,2,1,0,,,,,229,23777
engine_execution_alloc,resource_startup_failure,2,1,0,,,,,226,24070
engine_execution_alloc,retry_one_failure,1,0,0,,,,,165,18832
engine_execution_alloc,tiny_yield_chain,1,0,0,,,,,110,15124
engine_execution_alloc,trace_default,100,99,0,,,,,5983,769127
engine_execution_alloc,trace_observer,100,99,0,,,,,5983,769127
fixture_generation,graph_chain,1,0,20,241,315,222,482,0,0
fixture_generation,graph_chain,10,9,20,1278,1334,1259,1500,0,0
fixture_generation,graph_chain,100,99,20,16297,16426,16222,21500,0,0
fixture_generation,graph_chain,1000,999,20,163787,164112,163352,168241,0,0
fixture_generation,graph_sparse,1,0,20,232,333,222,352,0,0
fixture_generation,graph_sparse,10,9,20,1333,1444,1259,1500,0,0
fixture_generation,graph_sparse,100,99,20,16093,16352,15944,16371,0,0
fixture_generation,graph_sparse,1000,999,20,166556,167093,166186,174352,0,0
fixture_generation,graph_wide,1,0,20,241,371,203,389,0,0
fixture_generation,graph_wide,10,9,20,1277,1371,1241,115778,0,0
fixture_generation,graph_wide,100,99,20,15990,16278,15759,16445,0,0
fixture_generation,graph_wide,1000,999,20,165759,167074,165408,174612,0,0
fixture_generation,tiny_yield_chain,1,0,20,259,1129,222,1519,0,0
machine_state_setup,graph_chain,1,0,40,1148,1278,1037,2148,0,0
machine_state_setup,graph_chain,10,9,40,6703,7019,6408,10907,0,0
machine_state_setup,graph_chain,100,99,40,63370,74296,62685,92574,0,0
machine_state_setup,graph_chain,1000,999,40,625206,663095,611613,781373,0,0
machine_state_setup,graph_sparse,1,0,40,1092,1203,1019,1592,0,0
machine_state_setup,graph_sparse,10,9,40,6722,7056,6463,7870,0,0
machine_state_setup,graph_sparse,100,99,40,64917,66408,64148,96315,0,0
