phase,workload,nodes,edges,samples,median_ns,p95_ns,min_ns,max_ns,allocations,allocated_bytes
adapter_setup,current_thread_runtime,0,0,40,1000,1200,900,2500,0,0
body_state_setup,graph_chain,1,0,40,200,400,200,1100,0,0
body_state_setup,graph_chain,10,9,40,300,500,200,500,0,0
body_state_setup,graph_chain,100,99,40,600,800,500,1100,0,0
body_state_setup,graph_chain,1000,999,40,2200,8600,1600,65400,0,0
body_state_setup,graph_sparse,1,0,40,200,300,200,500,0,0
body_state_setup,graph_sparse,10,9,40,300,400,200,1000,0,0
body_state_setup,graph_sparse,100,99,40,600,700,400,1100,0,0
body_state_setup,graph_sparse,1000,999,40,1700,2400,1400,6800,0,0
body_state_setup,graph_wide,1,0,40,200,300,200,500,0,0
body_state_setup,graph_wide,10,9,40,300,500,200,500,0,0
body_state_setup,graph_wide,100,99,40,650,800,500,1100,0,0
body_state_setup,graph_wide,1000,999,40,1800,7000,1600,12500,0,0
body_state_setup,tiny_yield_chain,1,0,40,200,300,200,400,0,0
engine_execution,component_flat,10,9,40,42050,43800,40400,48600,0,0
engine_execution,component_flat,100,99,40,350650,362900,335700,364200,0,0
engine_execution,component_nested,13,12,40,43600,44900,42200,49700,0,0
engine_execution,component_nested,103,102,40,404050,416000,386400,478500,0,0
engine_execution,dynamic_live_instances_1,3,2,40,27600,29000,25900,37800,0,0
engine_execution,dynamic_live_instances_10,3,2,40,219650,228300,206800,230900,0,0
engine_execution,dynamic_live_instances_100,3,2,40,5076550,5430700,4578100,5523100,0,0
engine_execution,effect_known_receipt,1,0,40,7700,7900,7500,8200,0,0
engine_execution,graph_chain,1,0,40,5650,6000,5400,6800,0,0
engine_execution,graph_chain,10,9,40,34850,43700,32100,47200,0,0
engine_execution,graph_chain,100,99,40,498900,553000,451100,590000,0,0
engine_execution,graph_chain,1000,999,40,12648100,12856500,12433900,13041700,0,0
engine_execution,graph_sparse,1,0,40,5600,6400,5300,6700,0,0
engine_execution,graph_sparse,10,9,40,38350,42200,30900,43400,0,0
engine_execution,graph_sparse,100,99,40,443500,486900,412300,507700,0,0
engine_execution,graph_sparse,1000,999,40,11051950,11639700,10540100,11876400,0,0
engine_execution,graph_wide,1,0,40,5500,6000,5200,14200,0,0
engine_execution,graph_wide,10,9,40,31900,36500,30700,37200,0,0
engine_execution,graph_wide,100,99,40,426900,561400,398100,585900,0,0
engine_execution,graph_wide,1000,999,40,10206500,10666100,9557200,10975000,0,0
engine_execution,resident_ready_shutdown,1,0,40,7700,7900,7500,8100,0,0
engine_execution,resource_cancel_after_acquire,1,0,40,8700,11000,8500,19600,0,0
engine_execution,resource_cleanup_error_upstream,3,1,40,16000,16700,15700,17100,0,0
engine_execution,resource_normal,2,1,40,10300,10500,10100,10600,0,0
engine_execution,resource_release_failure,2,1,40,10800,11600,10500,13800,0,0
engine_execution,resource_startup_failure,2,1,40,10700,10900,10500,11000,0,0
engine_execution,retry_one_failure,1,0,40,7900,8100,7700,8100,0,0
engine_execution,tiny_yield_chain,1,0,40,5400,6100,5200,6700,0,0
engine_execution,trace_default,100,99,40,349150,357300,334700,364200,0,0
engine_execution,trace_observer,100,99,40,350800,361400,338900,369100,0,0
engine_execution_alloc,component_flat,10,9,0,,,,,654,66045
engine_execution_alloc,component_flat,100,99,0,,,,,5983,769191
engine_execution_alloc,component_nested,13,12,0,,,,,983,82379
engine_execution_alloc,component_nested,103,102,0,,,,,7482,838445
engine_execution_alloc,dynamic_live_instances_1,3,2,0,,,,,604,56109
engine_execution_alloc,dynamic_live_instances_10,3,2,0,,,,,4361,400384
engine_execution_alloc,dynamic_live_instances_100,3,2,0,,,,,68512,6238670
