phase,workload,nodes,edges,sample,nanos,allocations,allocated_bytes,checksum
adapter_setup,current_thread_runtime,0,0,0,3375,0,0,0
adapter_setup,current_thread_runtime,0,0,1,1375,0,0,0
adapter_setup,current_thread_runtime,0,0,2,1125,0,0,0
adapter_setup,current_thread_runtime,0,0,3,1167,0,0,0
adapter_setup,current_thread_runtime,0,0,4,1083,0,0,0
adapter_setup,current_thread_runtime,0,0,5,1125,0,0,0
adapter_setup,current_thread_runtime,0,0,6,2167,0,0,0
adapter_setup,current_thread_runtime,0,0,7,1167,0,0,0
adapter_setup,current_thread_runtime,0,0,8,1041,0,0,0
adapter_setup,current_thread_runtime,0,0,9,1166,0,0,0
adapter_setup,current_thread_runtime,0,0,10,1042,0,0,0
adapter_setup,current_thread_runtime,0,0,11,2041,0,0,0
adapter_setup,current_thread_runtime,0,0,12,2042,0,0,0
adapter_setup,current_thread_runtime,0,0,13,1167,0,0,0
adapter_setup,current_thread_runtime,0,0,14,1167,0,0,0
adapter_setup,current_thread_runtime,0,0,15,1041,0,0,0
adapter_setup,current_thread_runtime,0,0,16,2000,0,0,0
adapter_setup,current_thread_runtime,0,0,17,2083,0,0,0
adapter_setup,current_thread_runtime,0,0,18,1125,0,0,0
adapter_setup,current_thread_runtime,0,0,19,1083,0,0,0
adapter_setup,current_thread_runtime,0,0,20,1042,0,0,0
adapter_setup,current_thread_runtime,0,0,21,1083,0,0,0
adapter_setup,current_thread_runtime,0,0,22,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,23,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,24,1084,0,0,0
adapter_setup,current_thread_runtime,0,0,25,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,26,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,27,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,28,1042,0,0,0
adapter_setup,current_thread_runtime,0,0,29,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,30,958,0,0,0
adapter_setup,current_thread_runtime,0,0,31,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,32,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,33,1208,0,0,0
adapter_setup,current_thread_runtime,0,0,34,1042,0,0,0
adapter_setup,current_thread_runtime,0,0,35,1041,0,0,0
adapter_setup,current_thread_runtime,0,0,36,1083,0,0,0
adapter_setup,current_thread_runtime,0,0,37,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,38,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,39,1042,0,0,0
fixture_generation,graph_chain,1,0,0,250,0,0,5
fixture_generation,graph_chain,1,0,1,208,0,0,5
fixture_generation,graph_chain,1,0,2,125,0,0,5
fixture_generation,graph_chain,1,0,3,125,0,0,5
fixture_generation,graph_chain,1,0,4,125,0,0,5
fixture_generation,graph_chain,1,0,5,167,0,0,5
fixture_generation,graph_chain,1,0,6,125,0,0,5
fixture_generation,graph_chain,1,0,7,125,0,0,5
fixture_generation,graph_chain,1,0,8,125,0,0,5
fixture_generation,graph_chain,1,0,9,125,0,0,5
fixture_generation,graph_chain,1,0,10,125,0,0,5
fixture_generation,graph_chain,1,0,11,208,0,0,5
fixture_generation,graph_chain,1,0,12,167,0,0,5
fixture_generation,graph_chain,1,0,13,167,0,0,5
fixture_generation,graph_chain,1,0,14,125,0,0,5
fixture_generation,graph_chain,1,0,15,125,0,0,5
fixture_generation,graph_chain,1,0,16,1125,0,0,5
fixture_generation,graph_chain,1,0,17,208,0,0,5
fixture_generation,graph_chain,1,0,18,125,0,0,5
fixture_generation,graph_chain,1,0,19,125,0,0,5
plan_build,graph_chain,1,0,0,1208,0,0,11
plan_build,graph_chain,1,0,1,1458,0,0,11
plan_build,graph_chain,1,0,2,500,0,0,11
plan_build,graph_chain,1,0,3,459,0,0,11
plan_build,graph_chain,1,0,4,459,0,0,11
plan_build,graph_chain,1,0,5,500,0,0,11
plan_build,graph_chain,1,0,6,458,0,0,11
plan_build,graph_chain,1,0,7,416,0,0,11
plan_build,graph_chain,1,0,8,458,0,0,11
plan_build,graph_chain,1,0,9,459,0,0,11
plan_build,graph_chain,1,0,10,416,0,0,11
plan_build,graph_chain,1,0,11,417,0,0,11
plan_build,graph_chain,1,0,12,417,0,0,11
plan_build,graph_chain,1,0,13,416,0,0,11
plan_build,graph_chain,1,0,14,417,0,0,11
plan_build,graph_chain,1,0,15,417,0,0,11
plan_build,graph_chain,1,0,16,416,0,0,11
plan_build,graph_chain,1,0,17,500,0,0,11
plan_build,graph_chain,1,0,18,458,0,0,11
plan_build,graph_chain,1,0,19,417,0,0,11
plan_build_alloc,graph_chain,1,0,0,0,13,2317,11
engine_execution,graph_chain,1,0,0,5417,0,0,1
engine_execution,graph_chain,1,0,1,5500,0,0,0
engine_execution,graph_chain,1,0,2,6875,0,0,3
engine_execution,graph_chain,1,0,3,5917,0,0,2
engine_execution,graph_chain,1,0,4,5833,0,0,5
engine_execution,graph_chain,1,0,5,5583,0,0,4
engine_execution,graph_chain,1,0,6,5583,0,0,7
engine_execution,graph_chain,1,0,7,5583,0,0,6
engine_execution,graph_chain,1,0,8,5958,0,0,9
engine_execution,graph_chain,1,0,9,5875,0,0,8
engine_execution,graph_chain,1,0,10,5666,0,0,11
engine_execution,graph_chain,1,0,11,5667,0,0,10
engine_execution,graph_chain,1,0,12,5541,0,0,13
engine_execution,graph_chain,1,0,13,5625,0,0,12
engine_execution,graph_chain,1,0,14,5291,0,0,15
engine_execution,graph_chain,1,0,15,5667,0,0,14
engine_execution,graph_chain,1,0,16,5834,0,0,17
engine_execution,graph_chain,1,0,17,5833,0,0,16
engine_execution,graph_chain,1,0,18,5542,0,0,19
engine_execution,graph_chain,1,0,19,5584,0,0,18
engine_execution,graph_chain,1,0,20,5458,0,0,21
engine_execution,graph_chain,1,0,21,5625,0,0,20
engine_execution,graph_chain,1,0,22,5458,0,0,23
engine_execution,graph_chain,1,0,23,5791,0,0,22
engine_execution,graph_chain,1,0,24,5625,0,0,25
engine_execution,graph_chain,1,0,25,5583,0,0,24
engine_execution,graph_chain,1,0,26,5583,0,0,27
engine_execution,graph_chain,1,0,27,5875,0,0,26
engine_execution,graph_chain,1,0,28,5583,0,0,29
engine_execution,graph_chain,1,0,29,5709,0,0,28
engine_execution,graph_chain,1,0,30,5542,0,0,31
engine_execution,graph_chain,1,0,31,5541,0,0,30
engine_execution,graph_chain,1,0,32,5625,0,0,33
engine_execution,graph_chain,1,0,33,5708,0,0,32
engine_execution,graph_chain,1,0,34,5583,0,0,35
engine_execution,graph_chain,1,0,35,5333,0,0,34
engine_execution,graph_chain,1,0,36,5333,0,0,37
engine_execution,graph_chain,1,0,37,5542,0,0,36
engine_execution,graph_chain,1,0,38,5792,0,0,39
engine_execution,graph_chain,1,0,39,5458,0,0,38
engine_execution_alloc,graph_chain,1,0,0,0,118,15764,23131
machine_state_setup,graph_chain,1,0,0,875,0,0,1
body_state_setup,graph_chain,1,0,0,375,0,0,0
machine_state_setup,graph_chain,1,0,1,625,0,0,1
body_state_setup,graph_chain,1,0,1,250,0,0,0
machine_state_setup,graph_chain,1,0,2,542,0,0,1
body_state_setup,graph_chain,1,0,2,208,0,0,0
machine_state_setup,graph_chain,1,0,3,500,0,0,1
body_state_setup,graph_chain,1,0,3,292,0,0,0
machine_state_setup,graph_chain,1,0,4,584,0,0,1
body_state_setup,graph_chain,1,0,4,291,0,0,0
machine_state_setup,graph_chain,1,0,5,542,0,0,1
body_state_setup,graph_chain,1,0,5,250,0,0,0
machine_state_setup,graph_chain,1,0,6,500,0,0,1
body_state_setup,graph_chain,1,0,6,209,0,0,0
machine_state_setup,graph_chain,1,0,7,500,0,0,1
body_state_setup,graph_chain,1,0,7,208,0,0,0
machine_state_setup,graph_chain,1,0,8,500,0,0,1
body_state_setup,graph_chain,1,0,8,208,0,0,0
machine_state_setup,graph_chain,1,0,9,500,0,0,1
body_state_setup,graph_chain,1,0,9,209,0,0,0
machine_state_setup,graph_chain,1,0,10,500,0,0,1
body_state_setup,graph_chain,1,0,10,250,0,0,0
machine_state_setup,graph_chain,1,0,11,542,0,0,1
body_state_setup,graph_chain,1,0,11,208,0,0,0
machine_state_setup,graph_chain,1,0,12,500,0,0,1
body_state_setup,graph_chain,1,0,12,291,0,0,0
machine_state_setup,graph_chain,1,0,13,584,0,0,1
body_state_setup,graph_chain,1,0,13,250,0,0,0
machine_state_setup,graph_chain,1,0,14,500,0,0,1
body_state_setup,graph_chain,1,0,14,250,0,0,0
machine_state_setup,graph_chain,1,0,15,500,0,0,1
body_state_setup,graph_chain,1,0,15,208,0,0,0
machine_state_setup,graph_chain,1,0,16,458,0,0,1
body_state_setup,graph_chain,1,0,16,208,0,0,0
machine_state_setup,graph_chain,1,0,17,500,0,0,1
body_state_setup,graph_chain,1,0,17,208,0,0,0
machine_state_setup,graph_chain,1,0,18,500,0,0,1
body_state_setup,graph_chain,1,0,18,208,0,0,0
machine_state_setup,graph_chain,1,0,19,500,0,0,1
body_state_setup,graph_chain,1,0,19,209,0,0,0
machine_state_setup,graph_chain,1,0,20,500,0,0,1
body_state_setup,graph_chain,1,0,20,208,0,0,0
machine_state_setup,graph_chain,1,0,21,500,0,0,1
body_state_setup,graph_chain,1,0,21,208,0,0,0
machine_state_setup,graph_chain,1,0,22,500,0,0,1
body_state_setup,graph_chain,1,0,22,250,0,0,0
machine_state_setup,graph_chain,1,0,23,500,0,0,1
body_state_setup,graph_chain,1,0,23,208,0,0,0
machine_state_setup,graph_chain,1,0,24,500,0,0,1
body_state_setup,graph_chain,1,0,24,250,0,0,0
machine_state_setup,graph_chain,1,0,25,500,0,0,1
body_state_setup,graph_chain,1,0,25,208,0,0,0
machine_state_setup,graph_chain,1,0,26,500,0,0,1
body_state_setup,graph_chain,1,0,26,209,0,0,0
machine_state_setup,graph_chain,1,0,27,500,0,0,1
body_state_setup,graph_chain,1,0,27,250,0,0,0
machine_state_setup,graph_chain,1,0,28,500,0,0,1
body_state_setup,graph_chain,1,0,28,208,0,0,0
machine_state_setup,graph_chain,1,0,29,500,0,0,1
body_state_setup,graph_chain,1,0,29,208,0,0,0
machine_state_setup,graph_chain,1,0,30,458,0,0,1
body_state_setup,graph_chain,1,0,30,208,0,0,0
machine_state_setup,graph_chain,1,0,31,500,0,0,1
body_state_setup,graph_chain,1,0,31,209,0,0,0
machine_state_setup,graph_chain,1,0,32,500,0,0,1
body_state_setup,graph_chain,1,0,32,209,0,0,0
machine_state_setup,graph_chain,1,0,33,500,0,0,1
body_state_setup,graph_chain,1,0,33,209,0,0,0
machine_state_setup,graph_chain,1,0,34,500,0,0,1
body_state_setup,graph_chain,1,0,34,250,0,0,0
machine_state_setup,graph_chain,1,0,35,542,0,0,1
body_state_setup,graph_chain,1,0,35,208,0,0,0
machine_state_setup,graph_chain,1,0,36,500,0,0,1
body_state_setup,graph_chain,1,0,36,208,0,0,0
machine_state_setup,graph_chain,1,0,37,458,0,0,1
body_state_setup,graph_chain,1,0,37,208,0,0,0
machine_state_setup,graph_chain,1,0,38,500,0,0,1
body_state_setup,graph_chain,1,0,38,208,0,0,0
machine_state_setup,graph_chain,1,0,39,500,0,0,1
body_state_setup,graph_chain,1,0,39,250,0,0,0
pure_machine_events_preseeded,graph_chain,1,0,0,2000,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,1,1125,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,2,1084,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,3,1083,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,4,1084,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,5,1083,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,6,1083,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,7,1042,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,8,1042,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,9,1084,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,10,1042,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,11,1083,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,12,1041,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,13,1041,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,14,1042,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,15,1041,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,16,1041,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,17,1041,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,18,1083,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,19,1042,0,0,1
