phase,workload,nodes,edges,samples,median_ns,p95_ns,min_ns,max_ns,allocations,allocated_bytes
adapter_setup,current_thread_runtime,0,0,40,1083,2083,958,3375,0,0
body_state_setup,graph_chain,1,0,40,209,291,208,375,0,0
body_state_setup,graph_chain,10,9,40,250,292,208,417,0,0
body_state_setup,graph_chain,100,99,40,417,1875,375,6583,0,0
body_state_setup,graph_chain,1000,999,40,1875,2458,1750,3208,0,0
body_state_setup,graph_sparse,1,0,40,209,333,208,334,0,0
body_state_setup,graph_sparse,10,9,40,250,333,208,334,0,0
body_state_setup,graph_sparse,100,99,40,375,459,333,667,0,0
body_state_setup,graph_sparse,1000,999,40,2208,2542,1750,3667,0,0
body_state_setup,graph_wide,1,0,40,209,250,208,334,0,0
body_state_setup,graph_wide,10,9,40,250,334,208,375,0,0
body_state_setup,graph_wide,100,99,40,417,542,375,8125,0,0
body_state_setup,graph_wide,1000,999,40,2375,3375,1875,4541,0,0
body_state_setup,tiny_yield_chain,1,0,40,292,375,208,417,0,0
engine_execution,component_flat,10,9,40,34354,38458,29333,38916,0,0
engine_execution,component_flat,100,99,40,380354,394625,344625,541250,0,0
engine_execution,component_nested,13,12,40,48125,53000,40583,63208,0,0
engine_execution,component_nested,103,102,40,415562,438291,382208,443292,0,0
engine_execution,dynamic_live_instances_1,3,2,40,32521,65667,27208,175125,0,0
engine_execution,dynamic_live_instances_10,3,2,40,228979,239459,206125,251208,0,0
engine_execution,dynamic_live_instances_100,3,2,40,5048979,5606458,4866791,5788208,0,0
engine_execution,effect_known_receipt,1,0,40,8895,10542,7000,10875,0,0
engine_execution,graph_chain,1,0,40,5583,5917,5291,6875,0,0
engine_execution,graph_chain,10,9,40,30292,30792,30000,31625,0,0
engine_execution,graph_chain,100,99,40,344895,356666,341042,385875,0,0
engine_execution,graph_chain,1000,999,40,16867791,17546791,15580041,17693167,0,0
engine_execution,graph_sparse,1,0,40,5479,5791,5167,5792,0,0
engine_execution,graph_sparse,10,9,40,29917,30208,29375,35250,0,0
engine_execution,graph_sparse,100,99,40,325312,343209,320167,773500,0,0
engine_execution,graph_sparse,1000,999,40,15222354,15881833,14476791,16030250,0,0
engine_execution,graph_wide,1,0,40,5583,5834,5250,5959,0,0
engine_execution,graph_wide,10,9,40,29000,29417,28500,29584,0,0
engine_execution,graph_wide,100,99,40,295229,316708,292125,324750,0,0
engine_execution,graph_wide,1000,999,40,11307041,12176000,10136708,12426250,0,0
engine_execution,resident_ready_shutdown,1,0,40,9021,9625,7167,9792,0,0
engine_execution,resource_cancel_after_acquire,1,0,40,9896,12375,8833,18167,0,0
engine_execution,resource_cleanup_error_upstream,3,1,40,17791,20917,15458,21334,0,0
engine_execution,resource_normal,2,1,40,13562,15292,11208,15875,0,0
engine_execution,resource_release_failure,2,1,40,13354,15792,12042,17875,0,0
engine_execution,resource_startup_failure,2,1,40,12271,14000,10458,14583,0,0
engine_execution,retry_one_failure,1,0,40,8416,10166,7458,10417,0,0
engine_execution,tiny_yield_chain,1,0,40,6333,7792,5541,8541,0,0
engine_execution,trace_default,100,99,40,379416,389375,360625,410209,0,0
engine_execution,trace_observer,100,99,40,397729,476708,370000,779500,0,0
engine_execution_alloc,component_flat,10,9,0,,,,,671,67725
engine_execution_alloc,component_flat,100,99,0,,,,,6090,781647
engine_execution_alloc,component_nested,13,12,0,,,,,1003,84371
engine_execution_alloc,component_nested,103,102,0,,,,,7592,851213
engine_execution_alloc,dynamic_live_instances_1,3,2,0,,,,,626,57837
engine_execution_alloc,dynamic_live_instances_10,3,2,0,,,,,4464,409440
engine_execution_alloc,dynamic_live_instances_100,3,2,0,,,,,69425,6321790
engine_execution_alloc,effect_known_receipt,1,0,0,,,,,169,19229
engine_execution_alloc,graph_chain,1,0,0,,,,,118,15764
engine_execution_alloc,graph_chain,10,9,0,,,,,671,67725
engine_execution_alloc,graph_chain,100,99,0,,,,,6090,781647
engine_execution_alloc,graph_chain,1000,999,0,,,,,60109,29096851
engine_execution_alloc,graph_sparse,1,0,0,,,,,118,15766
engine_execution_alloc,graph_sparse,10,9,0,,,,,659,68559
engine_execution_alloc,graph_sparse,100,99,0,,,,,5945,761233
engine_execution_alloc,graph_sparse,1000,999,0,,,,,58650,25335061
engine_execution_alloc,graph_wide,1,0,0,,,,,118,15762
engine_execution_alloc,graph_wide,10,9,0,,,,,648,69579
engine_execution_alloc,graph_wide,100,99,0,,,,,5725,735725
engine_execution_alloc,graph_wide,1000,999,0,,,,,56214,21420769
engine_execution_alloc,resource_cleanup_error_upstream,3,1,0,,,,,349,31202
engine_execution_alloc,resource_normal,2,1,0,,,,,229,23914
engine_execution_alloc,resource_release_failure,2,1,0,,,,,239,24657
engine_execution_alloc,resource_startup_failure,2,1,0,,,,,236,24950
engine_execution_alloc,retry_one_failure,1,0,0,,,,,174,19592
engine_execution_alloc,tiny_yield_chain,1,0,0,,,,,118,15764
engine_execution_alloc,trace_default,100,99,0,,,,,6090,781647
engine_execution_alloc,trace_observer,100,99,0,,,,,6090,781647
fixture_generation,graph_chain,1,0,20,125,250,125,1125,0,0
fixture_generation,graph_chain,10,9,20,645,833,625,2166,0,0
fixture_generation,graph_chain,100,99,20,5625,6583,5583,6833,0,0
fixture_generation,graph_chain,1000,999,20,54375,55833,54291,56916,0,0
fixture_generation,graph_sparse,1,0,20,83,125,83,167,0,0
fixture_generation,graph_sparse,10,9,20,625,666,625,667,0,0
fixture_generation,graph_sparse,100,99,20,5584,5792,5541,5833,0,0
fixture_generation,graph_sparse,1000,999,20,62000,72875,57334,78042,0,0
fixture_generation,graph_wide,1,0,20,125,125,83,167,0,0
fixture_generation,graph_wide,10,9,20,625,667,625,708,0,0
fixture_generation,graph_wide,100,99,20,5583,5625,5500,5750,0,0
fixture_generation,graph_wide,1000,999,20,56917,72375,54250,73583,0,0
fixture_generation,tiny_yield_chain,1,0,20,125,291,83,1166,0,0
machine_state_setup,graph_chain,1,0,40,500,584,458,875,0,0
machine_state_setup,graph_chain,10,9,40,3042,3750,3000,3916,0,0
machine_state_setup,graph_chain,100,99,40,24145,56500,23917,100709,0,0
machine_state_setup,graph_chain,1000,999,40,236937,247166,225000,252500,0,0
machine_state_setup,graph_sparse,1,0,40,500,708,500,792,0,0
machine_state_setup,graph_sparse,10,9,40,2958,3042,2875,3292,0,0
machine_state_setup,graph_sparse,100,99,40,25042,25292,24708,26792,0,0
machine_state_setup,graph_sparse,1000,999,40,361417,389875,338792,423125,0,0
machine_state_setup,graph_wide,1,0,40,500,583,458,625,0,0
machine_state_setup,graph_wide,10,9,40,2959,3667,2875,3875,0,0
machine_state_setup,graph_wide,100,99,40,27854,28167,27542,29250,0,0
machine_state_setup,graph_wide,1000,999,40,513813,534125,475708,549250,0,0
machine_state_setup,tiny_yield_chain,1,0,40,625,792,500,1000,0,0
plan_build,graph_chain,1,0,20,458,1208,416,1458,0,0
plan_build,graph_chain,10,9,20,2104,2750,2000,4583,0,0
plan_build,graph_chain,100,99,20,27312,34125,26417,34250,0,0
plan_build,graph_chain,1000,999,20,1255229,1296333,1245709,1587250,0,0
plan_build,graph_sparse,1,0,20,458,500,417,667,0,0
plan_build,graph_sparse,10,9,20,2125,2333,2083,2750,0,0
plan_build,graph_sparse,100,99,20,27249,28042,26333,34875,0,0
plan_build,graph_sparse,1000,999,20,1373125,1535584,1309834,1649375,0,0
plan_build,graph_wide,1,0,20,458,500,416,833,0,0
plan_build,graph_wide,10,9,20,2042,2500,2041,3250,0,0
plan_build,graph_wide,100,99,20,26979,28416,26709,36041,0,0
plan_build,graph_wide,1000,999,20,1392104,2025583,1260417,2468833,0,0
plan_build,tiny_yield_chain,1,0,20,542,917,458,5875,0,0
plan_build_alloc,graph_chain,1,0,0,,,,,13,2317
plan_build_alloc,graph_chain,10,9,0,,,,,57,14266
plan_build_alloc,graph_chain,100,99,0,,,,,429,126588
plan_build_alloc,graph_chain,1000,999,0,,,,,4041,1049104
plan_build_alloc,graph_sparse,1,0,0,,,,,13,2318
plan_build_alloc,graph_sparse,10,9,0,,,,,57,14267
plan_build_alloc,graph_sparse,100,99,0,,,,,429,126589
plan_build_alloc,graph_sparse,1000,999,0,,,,,4041,1049105
plan_build_alloc,graph_wide,1,0,0,,,,,13,2316
plan_build_alloc,graph_wide,10,9,0,,,,,57,14265
plan_build_alloc,graph_wide,100,99,0,,,,,429,126587
plan_build_alloc,graph_wide,1000,999,0,,,,,4041,1049103
plan_build_alloc,tiny_yield_chain,1,0,0,,,,,13,2317
pure_machine_events_preseeded,graph_chain,1,0,40,1042,1084,1000,2000,0,0
pure_machine_events_preseeded,graph_chain,10,9,40,8875,9041,8792,10125,0,0
pure_machine_events_preseeded,graph_chain,100,99,40,148917,161333,147500,211583,0,0
pure_machine_events_preseeded,graph_chain,1000,999,40,11026145,11983000,10008208,12877084,0,0
representative_application,application_hash_handwritten,10,9,40,958,1000,750,1167,0,0
representative_application,application_hash_handwritten,100,99,40,9979,11125,8375,11167,0,0
