phase,workload,nodes,edges,sample,nanos,allocations,allocated_bytes,checksum
adapter_setup,current_thread_runtime,0,0,0,2500,0,0,0
adapter_setup,current_thread_runtime,0,0,1,1300,0,0,0
adapter_setup,current_thread_runtime,0,0,2,1100,0,0,0
adapter_setup,current_thread_runtime,0,0,3,1100,0,0,0
adapter_setup,current_thread_runtime,0,0,4,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,5,1100,0,0,0
adapter_setup,current_thread_runtime,0,0,6,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,7,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,8,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,9,1100,0,0,0
adapter_setup,current_thread_runtime,0,0,10,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,11,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,12,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,13,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,14,1100,0,0,0
adapter_setup,current_thread_runtime,0,0,15,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,16,1100,0,0,0
adapter_setup,current_thread_runtime,0,0,17,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,18,1300,0,0,0
adapter_setup,current_thread_runtime,0,0,19,1200,0,0,0
adapter_setup,current_thread_runtime,0,0,20,1200,0,0,0
adapter_setup,current_thread_runtime,0,0,21,1200,0,0,0
adapter_setup,current_thread_runtime,0,0,22,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,23,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,24,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,25,1100,0,0,0
adapter_setup,current_thread_runtime,0,0,26,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,27,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,28,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,29,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,30,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,31,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,32,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,33,1100,0,0,0
adapter_setup,current_thread_runtime,0,0,34,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,35,1100,0,0,0
adapter_setup,current_thread_runtime,0,0,36,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,37,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,38,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,39,1000,0,0,0
fixture_generation,graph_chain,1,0,0,200,0,0,5
fixture_generation,graph_chain,1,0,1,200,0,0,5
fixture_generation,graph_chain,1,0,2,100,0,0,5
fixture_generation,graph_chain,1,0,3,100,0,0,5
fixture_generation,graph_chain,1,0,4,100,0,0,5
fixture_generation,graph_chain,1,0,5,200,0,0,5
fixture_generation,graph_chain,1,0,6,100,0,0,5
fixture_generation,graph_chain,1,0,7,100,0,0,5
fixture_generation,graph_chain,1,0,8,100,0,0,5
fixture_generation,graph_chain,1,0,9,100,0,0,5
fixture_generation,graph_chain,1,0,10,100,0,0,5
fixture_generation,graph_chain,1,0,11,100,0,0,5
fixture_generation,graph_chain,1,0,12,100,0,0,5
fixture_generation,graph_chain,1,0,13,100,0,0,5
fixture_generation,graph_chain,1,0,14,100,0,0,5
fixture_generation,graph_chain,1,0,15,100,0,0,5
fixture_generation,graph_chain,1,0,16,100,0,0,5
fixture_generation,graph_chain,1,0,17,100,0,0,5
fixture_generation,graph_chain,1,0,18,200,0,0,5
fixture_generation,graph_chain,1,0,19,100,0,0,5
plan_build,graph_chain,1,0,0,1500,0,0,11
plan_build,graph_chain,1,0,1,800,0,0,11
plan_build,graph_chain,1,0,2,700,0,0,11
plan_build,graph_chain,1,0,3,600,0,0,11
plan_build,graph_chain,1,0,4,700,0,0,11
plan_build,graph_chain,1,0,5,800,0,0,11
plan_build,graph_chain,1,0,6,600,0,0,11
plan_build,graph_chain,1,0,7,600,0,0,11
plan_build,graph_chain,1,0,8,600,0,0,11
plan_build,graph_chain,1,0,9,500,0,0,11
plan_build,graph_chain,1,0,10,500,0,0,11
plan_build,graph_chain,1,0,11,600,0,0,11
plan_build,graph_chain,1,0,12,600,0,0,11
plan_build,graph_chain,1,0,13,600,0,0,11
plan_build,graph_chain,1,0,14,600,0,0,11
plan_build,graph_chain,1,0,15,600,0,0,11
plan_build,graph_chain,1,0,16,600,0,0,11
plan_build,graph_chain,1,0,17,900,0,0,11
plan_build,graph_chain,1,0,18,800,0,0,11
plan_build,graph_chain,1,0,19,700,0,0,11
plan_build_alloc,graph_chain,1,0,0,0,13,2317,11
