phase,workload,nodes,edges,samples,median_ns,p95_ns,min_ns,max_ns,allocations,allocated_bytes
adapter_setup,current_thread_runtime,0,0,40,1000,1300,1000,2500,0,0
body_state_setup,graph_chain,1,0,40,200,300,200,500,0,0
body_state_setup,graph_chain,10,9,40,300,500,200,1700,0,0
body_state_setup,graph_chain,100,99,40,600,800,500,800,0,0
body_state_setup,graph_chain,1000,999,40,4800,7400,1600,12200,0,0
body_state_setup,graph_sparse,1,0,40,300,300,200,500,0,0
body_state_setup,graph_sparse,10,9,40,300,400,200,800,0,0
body_state_setup,graph_sparse,100,99,40,600,800,500,1500,0,0
body_state_setup,graph_sparse,1000,999,40,1700,5200,1500,7200,0,0
body_state_setup,graph_wide,1,0,40,200,400,200,500,0,0
body_state_setup,graph_wide,10,9,40,300,500,200,700,0,0
body_state_setup,graph_wide,100,99,40,600,800,500,1000,0,0
body_state_setup,graph_wide,1000,999,40,1700,6700,1500,8000,0,0
body_state_setup,tiny_yield_chain,1,0,40,200,300,200,400,0,0
engine_execution,component_flat,10,9,40,31400,32400,30900,34100,0,0
engine_execution,component_flat,100,99,40,352400,369600,339200,460300,0,0
engine_execution,component_nested,13,12,40,43150,46000,41900,48200,0,0
engine_execution,component_nested,103,102,40,405750,431400,387400,553200,0,0
engine_execution,dynamic_live_instances_1,3,2,40,28650,30200,27800,32100,0,0
engine_execution,dynamic_live_instances_10,3,2,40,220600,237900,211500,271700,0,0
engine_execution,dynamic_live_instances_100,3,2,40,5116150,5409200,4525800,5428800,0,0
engine_execution,effect_known_receipt,1,0,40,7800,7900,7500,8000,0,0
engine_execution,graph_chain,1,0,40,5950,7100,5700,10600,0,0
engine_execution,graph_chain,10,9,40,35250,42300,32800,43700,0,0
engine_execution,graph_chain,100,99,40,493600,566100,459600,588000,0,0
engine_execution,graph_chain,1000,999,40,12764050,12989900,12521400,13139900,0,0
engine_execution,graph_sparse,1,0,40,5800,6900,5500,7300,0,0
engine_execution,graph_sparse,10,9,40,32150,33700,31000,37100,0,0
engine_execution,graph_sparse,100,99,40,434700,484600,410400,498300,0,0
engine_execution,graph_sparse,1000,999,40,11075650,11817000,10592500,11959300,0,0
engine_execution,graph_wide,1,0,40,5800,5900,5600,6200,0,0
engine_execution,graph_wide,10,9,40,32200,37100,30900,40800,0,0
engine_execution,graph_wide,100,99,40,398600,455300,379900,472700,0,0
engine_execution,graph_wide,1000,999,40,10015650,10365800,9812100,10534700,0,0
engine_execution,resident_ready_shutdown,1,0,40,8200,8500,7900,19600,0,0
engine_execution,resource_cancel_after_acquire,1,0,40,8800,9900,8500,16900,0,0
engine_execution,resource_cleanup_error_upstream,3,1,40,16100,17000,15600,19500,0,0
engine_execution,resource_normal,2,1,40,10100,10300,9800,10300,0,0
