phase,workload,nodes,edges,sample,nanos,allocations,allocated_bytes,checksum
adapter_setup,current_thread_runtime,0,0,0,6291,0,0,0
adapter_setup,current_thread_runtime,0,0,1,3834,0,0,0
adapter_setup,current_thread_runtime,0,0,2,3208,0,0,0
adapter_setup,current_thread_runtime,0,0,3,2917,0,0,0
adapter_setup,current_thread_runtime,0,0,4,3041,0,0,0
adapter_setup,current_thread_runtime,0,0,5,2959,0,0,0
adapter_setup,current_thread_runtime,0,0,6,6292,0,0,0
adapter_setup,current_thread_runtime,0,0,7,3208,0,0,0
adapter_setup,current_thread_runtime,0,0,8,5583,0,0,0
adapter_setup,current_thread_runtime,0,0,9,3209,0,0,0
adapter_setup,current_thread_runtime,0,0,10,3125,0,0,0
adapter_setup,current_thread_runtime,0,0,11,5333,0,0,0
adapter_setup,current_thread_runtime,0,0,12,2875,0,0,0
adapter_setup,current_thread_runtime,0,0,13,2792,0,0,0
adapter_setup,current_thread_runtime,0,0,14,3084,0,0,0
adapter_setup,current_thread_runtime,0,0,15,2667,0,0,0
adapter_setup,current_thread_runtime,0,0,16,2916,0,0,0
adapter_setup,current_thread_runtime,0,0,17,2958,0,0,0
adapter_setup,current_thread_runtime,0,0,18,2833,0,0,0
adapter_setup,current_thread_runtime,0,0,19,2916,0,0,0
adapter_setup,current_thread_runtime,0,0,20,2791,0,0,0
adapter_setup,current_thread_runtime,0,0,21,2833,0,0,0
adapter_setup,current_thread_runtime,0,0,22,3041,0,0,0
adapter_setup,current_thread_runtime,0,0,23,2750,0,0,0
adapter_setup,current_thread_runtime,0,0,24,2750,0,0,0
adapter_setup,current_thread_runtime,0,0,25,2958,0,0,0
adapter_setup,current_thread_runtime,0,0,26,2833,0,0,0
adapter_setup,current_thread_runtime,0,0,27,2667,0,0,0
adapter_setup,current_thread_runtime,0,0,28,2792,0,0,0
adapter_setup,current_thread_runtime,0,0,29,2875,0,0,0
adapter_setup,current_thread_runtime,0,0,30,2750,0,0,0
adapter_setup,current_thread_runtime,0,0,31,2792,0,0,0
adapter_setup,current_thread_runtime,0,0,32,2792,0,0,0
adapter_setup,current_thread_runtime,0,0,33,3250,0,0,0
adapter_setup,current_thread_runtime,0,0,34,2708,0,0,0
adapter_setup,current_thread_runtime,0,0,35,2708,0,0,0
adapter_setup,current_thread_runtime,0,0,36,3000,0,0,0
adapter_setup,current_thread_runtime,0,0,37,2959,0,0,0
adapter_setup,current_thread_runtime,0,0,38,2708,0,0,0
adapter_setup,current_thread_runtime,0,0,39,2583,0,0,0
fixture_generation,graph_chain,1,0,0,625,0,0,5
fixture_generation,graph_chain,1,0,1,334,0,0,5
fixture_generation,graph_chain,1,0,2,375,0,0,5
fixture_generation,graph_chain,1,0,3,334,0,0,5
fixture_generation,graph_chain,1,0,4,292,0,0,5
fixture_generation,graph_chain,1,0,5,292,0,0,5
fixture_generation,graph_chain,1,0,6,250,0,0,5
fixture_generation,graph_chain,1,0,7,333,0,0,5
fixture_generation,graph_chain,1,0,8,292,0,0,5
fixture_generation,graph_chain,1,0,9,250,0,0,5
fixture_generation,graph_chain,1,0,10,292,0,0,5
fixture_generation,graph_chain,1,0,11,292,0,0,5
fixture_generation,graph_chain,1,0,12,250,0,0,5
fixture_generation,graph_chain,1,0,13,291,0,0,5
fixture_generation,graph_chain,1,0,14,292,0,0,5
fixture_generation,graph_chain,1,0,15,292,0,0,5
fixture_generation,graph_chain,1,0,16,292,0,0,5
fixture_generation,graph_chain,1,0,17,292,0,0,5
fixture_generation,graph_chain,1,0,18,291,0,0,5
fixture_generation,graph_chain,1,0,19,291,0,0,5
plan_build,graph_chain,1,0,0,7458,0,0,11
plan_build,graph_chain,1,0,1,4333,0,0,11
plan_build,graph_chain,1,0,2,3500,0,0,11
plan_build,graph_chain,1,0,3,3125,0,0,11
plan_build,graph_chain,1,0,4,3250,0,0,11
plan_build,graph_chain,1,0,5,3458,0,0,11
plan_build,graph_chain,1,0,6,3084,0,0,11
plan_build,graph_chain,1,0,7,3000,0,0,11
plan_build,graph_chain,1,0,8,3125,0,0,11
plan_build,graph_chain,1,0,9,3125,0,0,11
plan_build,graph_chain,1,0,10,3042,0,0,11
plan_build,graph_chain,1,0,11,3125,0,0,11
plan_build,graph_chain,1,0,12,3208,0,0,11
plan_build,graph_chain,1,0,13,3084,0,0,11
plan_build,graph_chain,1,0,14,3167,0,0,11
plan_build,graph_chain,1,0,15,3083,0,0,11
plan_build,graph_chain,1,0,16,3083,0,0,11
plan_build,graph_chain,1,0,17,3000,0,0,11
plan_build,graph_chain,1,0,18,3292,0,0,11
plan_build,graph_chain,1,0,19,3000,0,0,11
plan_build_alloc,graph_chain,1,0,0,0,36,6722,11
engine_execution,graph_chain,1,0,0,13167,0,0,1
engine_execution,graph_chain,1,0,1,13500,0,0,0
engine_execution,graph_chain,1,0,2,13250,0,0,3
engine_execution,graph_chain,1,0,3,13625,0,0,2
engine_execution,graph_chain,1,0,4,13625,0,0,5
engine_execution,graph_chain,1,0,5,13542,0,0,4
engine_execution,graph_chain,1,0,6,13750,0,0,7
engine_execution,graph_chain,1,0,7,12750,0,0,6
engine_execution,graph_chain,1,0,8,13041,0,0,9
engine_execution,graph_chain,1,0,9,13083,0,0,8
engine_execution,graph_chain,1,0,10,13791,0,0,11
engine_execution,graph_chain,1,0,11,12833,0,0,10
engine_execution,graph_chain,1,0,12,13209,0,0,13
engine_execution,graph_chain,1,0,13,12917,0,0,12
engine_execution,graph_chain,1,0,14,13417,0,0,15
engine_execution,graph_chain,1,0,15,12791,0,0,14
engine_execution,graph_chain,1,0,16,13416,0,0,17
engine_execution,graph_chain,1,0,17,12791,0,0,16
engine_execution,graph_chain,1,0,18,12750,0,0,19
engine_execution,graph_chain,1,0,19,13084,0,0,18
engine_execution,graph_chain,1,0,20,13625,0,0,21
engine_execution,graph_chain,1,0,21,12959,0,0,20
engine_execution,graph_chain,1,0,22,12792,0,0,23
engine_execution,graph_chain,1,0,23,12875,0,0,22
engine_execution,graph_chain,1,0,24,13250,0,0,25
engine_execution,graph_chain,1,0,25,13208,0,0,24
engine_execution,graph_chain,1,0,26,13166,0,0,27
engine_execution,graph_chain,1,0,27,12958,0,0,26
engine_execution,graph_chain,1,0,28,12917,0,0,29
engine_execution,graph_chain,1,0,29,12792,0,0,28
engine_execution,graph_chain,1,0,30,13041,0,0,31
engine_execution,graph_chain,1,0,31,12958,0,0,30
engine_execution,graph_chain,1,0,32,13250,0,0,33
engine_execution,graph_chain,1,0,33,13041,0,0,32
engine_execution,graph_chain,1,0,34,12958,0,0,35
engine_execution,graph_chain,1,0,35,13000,0,0,34
engine_execution,graph_chain,1,0,36,12833,0,0,37
engine_execution,graph_chain,1,0,37,12834,0,0,36
engine_execution,graph_chain,1,0,38,13292,0,0,39
engine_execution,graph_chain,1,0,39,12667,0,0,38
engine_execution_alloc,graph_chain,1,0,0,0,107,11948,23131
