phase,workload,nodes,edges,samples,median_ns,p95_ns,min_ns,max_ns,allocations,allocated_bytes
adapter_setup,current_thread_runtime,0,0,40,2916,5583,2583,6292,0,0
body_state_setup,graph_chain,1,0,40,541,584,500,875,0,0
body_state_setup,graph_chain,10,9,40,500,583,458,875,0,0
body_state_setup,graph_chain,100,99,40,375,625,333,792,0,0
body_state_setup,graph_chain,1000,999,40,833,875,750,1375,0,0
body_state_setup,graph_sparse,1,0,40,459,500,416,750,0,0
body_state_setup,graph_sparse,10,9,40,417,500,375,708,0,0
body_state_setup,graph_sparse,100,99,40,292,334,250,459,0,0
body_state_setup,graph_sparse,1000,999,40,812,875,750,1167,0,0
body_state_setup,graph_wide,1,0,40,458,500,416,666,0,0
body_state_setup,graph_wide,10,9,40,291,334,250,584,0,0
body_state_setup,graph_wide,100,99,40,292,416,250,625,0,0
body_state_setup,graph_wide,1000,999,40,833,1041,791,1625,0,0
body_state_setup,tiny_yield_chain,1,0,40,208,250,166,292,0,0
engine_execution,component_flat,10,9,40,25500,26000,25167,26084,0,0
engine_execution,component_flat,100,99,40,276396,293750,273833,298916,0,0
engine_execution,component_nested,13,12,40,35125,36458,34625,39208,0,0
engine_execution,component_nested,103,102,40,340125,352250,332959,364708,0,0
engine_execution,component_repeated_typed_10,10,10,40,55208,60333,54791,61083,0,0
engine_execution,component_repeated_typed_100,100,100,40,1157625,1213667,1100125,1628833,0,0
engine_execution,component_repeated_typed_2,2,2,40,12167,12416,11917,12917,0,0
engine_execution,dynamic_live_instances_1,3,2,40,27145,31125,26541,31500,0,0
engine_execution,dynamic_live_instances_10,3,2,40,199000,210625,197875,223625,0,0
engine_execution,dynamic_live_instances_100,3,2,40,4369000,4484541,4316666,4630250,0,0
engine_execution,dynamic_sequential_churn_1,2,1,40,23729,24125,23125,24125,0,0
engine_execution,dynamic_sequential_churn_10,2,1,40,154521,171209,152708,181792,0,0
engine_execution,dynamic_sequential_churn_100,2,1,40,1694396,1837959,1664083,1926750,0,0
engine_execution,effect_known_receipt,1,0,40,7000,7541,6709,8583,0,0
