phase,workload,nodes,edges,sample,nanos,allocations,allocated_bytes,checksum
adapter_setup,current_thread_runtime,0,0,0,36130,0,0,0
adapter_setup,current_thread_runtime,0,0,1,2037,0,0,0
adapter_setup,current_thread_runtime,0,0,2,1815,0,0,0
adapter_setup,current_thread_runtime,0,0,3,1815,0,0,0
adapter_setup,current_thread_runtime,0,0,4,1981,0,0,0
adapter_setup,current_thread_runtime,0,0,5,2130,0,0,0
adapter_setup,current_thread_runtime,0,0,6,1796,0,0,0
adapter_setup,current_thread_runtime,0,0,7,1778,0,0,0
adapter_setup,current_thread_runtime,0,0,8,1834,0,0,0
adapter_setup,current_thread_runtime,0,0,9,1833,0,0,0
adapter_setup,current_thread_runtime,0,0,10,1852,0,0,0
adapter_setup,current_thread_runtime,0,0,11,1926,0,0,0
adapter_setup,current_thread_runtime,0,0,12,2759,0,0,0
adapter_setup,current_thread_runtime,0,0,13,2518,0,0,0
adapter_setup,current_thread_runtime,0,0,14,2148,0,0,0
adapter_setup,current_thread_runtime,0,0,15,2037,0,0,0
adapter_setup,current_thread_runtime,0,0,16,2075,0,0,0
adapter_setup,current_thread_runtime,0,0,17,1982,0,0,0
adapter_setup,current_thread_runtime,0,0,18,2074,0,0,0
adapter_setup,current_thread_runtime,0,0,19,2037,0,0,0
adapter_setup,current_thread_runtime,0,0,20,2056,0,0,0
adapter_setup,current_thread_runtime,0,0,21,2000,0,0,0
adapter_setup,current_thread_runtime,0,0,22,1963,0,0,0
adapter_setup,current_thread_runtime,0,0,23,2000,0,0,0
adapter_setup,current_thread_runtime,0,0,24,1963,0,0,0
adapter_setup,current_thread_runtime,0,0,25,1963,0,0,0
adapter_setup,current_thread_runtime,0,0,26,1963,0,0,0
adapter_setup,current_thread_runtime,0,0,27,2000,0,0,0
adapter_setup,current_thread_runtime,0,0,28,1982,0,0,0
adapter_setup,current_thread_runtime,0,0,29,2019,0,0,0
adapter_setup,current_thread_runtime,0,0,30,2000,0,0,0
adapter_setup,current_thread_runtime,0,0,31,2074,0,0,0
adapter_setup,current_thread_runtime,0,0,32,2167,0,0,0
adapter_setup,current_thread_runtime,0,0,33,1982,0,0,0
adapter_setup,current_thread_runtime,0,0,34,2092,0,0,0
adapter_setup,current_thread_runtime,0,0,35,2000,0,0,0
adapter_setup,current_thread_runtime,0,0,36,2129,0,0,0
adapter_setup,current_thread_runtime,0,0,37,2092,0,0,0
adapter_setup,current_thread_runtime,0,0,38,2741,0,0,0
adapter_setup,current_thread_runtime,0,0,39,2000,0,0,0
fixture_generation,graph_chain,1,0,0,426,0,0,5
fixture_generation,graph_chain,1,0,1,315,0,0,5
fixture_generation,graph_chain,1,0,2,259,0,0,5
fixture_generation,graph_chain,1,0,3,278,0,0,5
fixture_generation,graph_chain,1,0,4,352,0,0,5
fixture_generation,graph_chain,1,0,5,278,0,0,5
fixture_generation,graph_chain,1,0,6,260,0,0,5
fixture_generation,graph_chain,1,0,7,259,0,0,5
fixture_generation,graph_chain,1,0,8,278,0,0,5
fixture_generation,graph_chain,1,0,9,260,0,0,5
fixture_generation,graph_chain,1,0,10,259,0,0,5
fixture_generation,graph_chain,1,0,11,241,0,0,5
fixture_generation,graph_chain,1,0,12,241,0,0,5
fixture_generation,graph_chain,1,0,13,240,0,0,5
fixture_generation,graph_chain,1,0,14,241,0,0,5
fixture_generation,graph_chain,1,0,15,259,0,0,5
fixture_generation,graph_chain,1,0,16,241,0,0,5
fixture_generation,graph_chain,1,0,17,241,0,0,5
fixture_generation,graph_chain,1,0,18,240,0,0,5
fixture_generation,graph_chain,1,0,19,241,0,0,5
plan_build,graph_chain,1,0,0,6241,0,0,11
plan_build,graph_chain,1,0,1,2963,0,0,11
plan_build,graph_chain,1,0,2,2500,0,0,11
plan_build,graph_chain,1,0,3,2426,0,0,11
plan_build,graph_chain,1,0,4,2314,0,0,11
plan_build,graph_chain,1,0,5,2277,0,0,11
plan_build,graph_chain,1,0,6,2482,0,0,11
plan_build,graph_chain,1,0,7,2463,0,0,11
plan_build,graph_chain,1,0,8,2333,0,0,11
plan_build,graph_chain,1,0,9,2333,0,0,11
plan_build,graph_chain,1,0,10,2481,0,0,11
plan_build,graph_chain,1,0,11,2426,0,0,11
plan_build,graph_chain,1,0,12,2371,0,0,11
plan_build,graph_chain,1,0,13,2334,0,0,11
plan_build,graph_chain,1,0,14,2537,0,0,11
plan_build,graph_chain,1,0,15,2407,0,0,11
plan_build,graph_chain,1,0,16,2407,0,0,11
plan_build,graph_chain,1,0,17,2537,0,0,11
plan_build,graph_chain,1,0,18,2611,0,0,11
plan_build,graph_chain,1,0,19,2426,0,0,11
plan_build_alloc,graph_chain,1,0,0,0,36,6722,11
