phase,workload,nodes,edges,samples,median_ns,p95_ns,min_ns,max_ns,allocations,allocated_bytes
adapter_setup,current_thread_runtime,0,0,40,2000,2741,1778,36130,0,0
body_state_setup,graph_chain,1,0,40,352,481,333,500,0,0
body_state_setup,graph_chain,10,9,40,408,537,315,555,0,0
body_state_setup,graph_chain,100,99,40,2926,3371,2741,3740,0,0
body_state_setup,graph_chain,1000,999,40,2463,2926,2241,4908,0,0
body_state_setup,graph_sparse,1,0,40,352,519,314,592,0,0
body_state_setup,graph_sparse,10,9,40,408,555,315,908,0,0
body_state_setup,graph_sparse,100,99,40,2982,3537,2796,4074,0,0
body_state_setup,graph_sparse,1000,999,40,2482,3315,2352,6037,0,0
body_state_setup,graph_wide,1,0,40,334,426,315,518,0,0
body_state_setup,graph_wide,10,9,40,416,500,333,537,0,0
body_state_setup,graph_wide,100,99,40,2870,3018,2741,3352,0,0
body_state_setup,graph_wide,1000,999,40,2370,3037,2222,4944,0,0
body_state_setup,tiny_yield_chain,1,0,40,426,519,370,1111,0,0
engine_execution,component_flat,10,9,40,62583,63130,62000,63463,0,0
engine_execution,component_flat,100,99,40,769058,775817,764392,776855,0,0
engine_execution,component_nested,13,12,40,90574,91834,89630,97815,0,0
engine_execution,component_nested,103,102,40,947883,957633,941671,971466,0,0
engine_execution,component_repeated_typed_10,10,10,40,141954,143279,140445,147556,0,0
engine_execution,component_repeated_typed_100,100,100,40,2607018,2668046,2595195,2686751,0,0
engine_execution,component_repeated_typed_2,2,2,40,29083,29648,28186,29778,0,0
engine_execution,dynamic_live_instances_1,3,2,40,66963,68389,65630,69482,0,0
engine_execution,dynamic_live_instances_10,3,2,40,511928,519465,509594,522113,0,0
engine_execution,dynamic_live_instances_100,3,2,40,10799233,10882243,10760595,14284144,0,0
engine_execution,dynamic_sequential_churn_1,2,1,40,58805,59982,57685,60075,0,0
engine_execution,dynamic_sequential_churn_10,2,1,40,395066,402354,392946,405020,0,0
engine_execution,dynamic_sequential_churn_100,2,1,40,4152904,4173108,4135663,4346109,0,0
engine_execution,effect_known_receipt,1,0,40,16500,17001,16130,20741,0,0
engine_execution,effect_unknown_recovery_failed,1,0,40,17537,18426,17278,24759,0,0
engine_execution,effect_unknown_recovery_resolved,1,0,40,16084,16537,15834,16722,0,0
engine_execution,graph_chain,1,0,40,11000,11315,10445,11352,0,0
engine_execution,graph_chain,10,9,40,62843,63741,61926,64334,0,0
engine_execution,graph_chain,100,99,40,766373,777448,743206,789244,0,0
engine_execution,graph_chain,1000,999,40,35502184,36689688,34765459,37315895,0,0
engine_execution,graph_sparse,1,0,40,10879,11278,10648,11389,0,0
engine_execution,graph_sparse,10,9,40,63000,63926,61648,64592,0,0
engine_execution,graph_sparse,100,99,40,712549,720651,708576,732040,0,0
engine_execution,graph_sparse,1000,999,40,27360701,27966638,27137894,28553937,0,0
engine_execution,graph_wide,1,0,40,10907,11111,10611,11223,0,0
engine_execution,graph_wide,10,9,40,61454,63130,60315,63667,0,0
engine_execution,graph_wide,100,99,40,649650,655558,642521,657262,0,0
engine_execution,graph_wide,1000,999,40,19212624,19851646,19055865,21155910,0,0
engine_execution,resident_ready_shutdown,1,0,40,16907,17203,16408,17611,0,0
engine_execution,resource_cancel_after_acquire,1,0,40,19509,20871,18926,30852,0,0
engine_execution,resource_cleanup_error_upstream,3,1,40,34685,35537,33926,35908,0,0
engine_execution,resource_normal,2,1,40,22426,22667,22129,23000,0,0
engine_execution,resource_release_failure,2,1,40,23769,24000,23482,24500,0,0
engine_execution,resource_startup_failure,2,1,40,23463,24167,23148,35723,0,0
engine_execution,retry_one_failure,1,0,40,16741,17000,16500,17148,0,0
engine_execution,service_restart_exhausted,1,0,40,19593,20148,19222,26778,0,0
engine_execution,service_restart_stable_handle,1,0,40,26638,27037,26093,27334,0,0
engine_execution,tiny_yield_chain,1,0,40,11203,11556,10889,11592,0,0
engine_execution,trace_default,100,99,40,773642,783985,768484,801743,0,0
engine_execution,trace_observer,100,99,40,776012,784929,772410,858984,0,0
engine_execution_alloc,component_flat,10,9,0,,,,,572,44888
engine_execution_alloc,component_flat,100,99,0,,,,,5259,513080
engine_execution_alloc,component_nested,13,12,0,,,,,855,59513
engine_execution_alloc,component_nested,103,102,0,,,,,6532,645065
engine_execution_alloc,component_repeated_typed_10,10,10,0,,,,,1405,95550
engine_execution_alloc,component_repeated_typed_100,100,100,0,,,,,22566,1456190
engine_execution_alloc,component_repeated_typed_2,2,2,0,,,,,303,24582
engine_execution_alloc,dynamic_live_instances_1,3,2,0,,,,,622,57965
