phase,workload,nodes,edges,samples,median_ns,p95_ns,min_ns,max_ns,allocations,allocated_bytes
adapter_setup,current_thread_runtime,0,0,40,959,2083,833,2542,0,0
body_state_setup,graph_chain,1,0,40,208,250,166,333,0,0
body_state_setup,graph_chain,10,9,40,208,250,167,250,0,0
body_state_setup,graph_chain,100,99,40,291,334,250,458,0,0
body_state_setup,graph_chain,1000,999,40,937,1292,833,1917,0,0
body_state_setup,graph_sparse,1,0,40,250,292,208,292,0,0
body_state_setup,graph_sparse,10,9,40,250,333,208,375,0,0
body_state_setup,graph_sparse,100,99,40,292,417,250,542,0,0
body_state_setup,graph_sparse,1000,999,40,1000,1167,792,1584,0,0
body_state_setup,graph_wide,1,0,40,208,250,166,250,0,0
body_state_setup,graph_wide,10,9,40,229,250,208,292,0,0
body_state_setup,graph_wide,100,99,40,250,334,250,583,0,0
body_state_setup,graph_wide,1000,999,40,1020,1208,791,2041,0,0
body_state_setup,tiny_yield_chain,1,0,40,291,417,250,458,0,0
engine_execution,component_flat,10,9,40,29791,33208,25292,34125,0,0
engine_execution,component_flat,100,99,40,329667,344333,306959,376208,0,0
engine_execution,component_nested,13,12,40,42437,47667,35375,63625,0,0
engine_execution,component_nested,103,102,40,393249,510750,353000,664583,0,0
engine_execution,component_repeated_typed_10,10,10,40,65375,70875,57041,72000,0,0
engine_execution,component_repeated_typed_100,100,100,40,1225312,1421875,1165375,1710375,0,0
engine_execution,component_repeated_typed_2,2,2,40,15521,16584,12625,21917,0,0
engine_execution,dynamic_live_instances_1,3,2,40,32896,35208,28250,36083,0,0
engine_execution,dynamic_live_instances_10,3,2,40,238521,292291,221084,311125,0,0
engine_execution,dynamic_live_instances_100,3,2,40,5211687,5719792,4882084,6309166,0,0
engine_execution,dynamic_sequential_churn_1,2,1,40,30937,34458,25250,60250,0,0
engine_execution,dynamic_sequential_churn_10,2,1,40,187875,196042,170459,199208,0,0
engine_execution,dynamic_sequential_churn_100,2,1,40,1980270,2147750,1902084,2639458,0,0
engine_execution,effect_known_receipt,1,0,40,9458,10583,7417,14250,0,0
engine_execution,effect_unknown_recovery_failed,1,0,40,8395,10167,7416,10209,0,0
engine_execution,effect_unknown_recovery_resolved,1,0,40,7625,9500,6917,9750,0,0
engine_execution,graph_chain,1,0,40,4584,5042,4333,5750,0,0
engine_execution,graph_chain,10,9,40,27896,32500,27042,33000,0,0
engine_execution,graph_chain,100,99,40,321375,330500,304708,339333,0,0
engine_execution,graph_chain,1000,999,40,14746250,15762458,13328458,17010375,0,0
engine_execution,graph_sparse,1,0,40,4875,6083,4542,6208,0,0
engine_execution,graph_sparse,10,9,40,27416,31459,26417,32000,0,0
engine_execution,graph_sparse,100,99,40,298229,308041,288083,324083,0,0
engine_execution,graph_sparse,1000,999,40,11295437,12144417,10204209,12591541,0,0
engine_execution,graph_wide,1,0,40,4750,5125,4458,6042,0,0
engine_execution,graph_wide,10,9,40,26854,30875,25708,30875,0,0
engine_execution,graph_wide,100,99,40,262896,286042,250916,394292,0,0
engine_execution,graph_wide,1000,999,40,8243917,8656625,7809042,9523458,0,0
engine_execution,resident_ready_shutdown,1,0,40,9708,11584,7708,21042,0,0
engine_execution,resource_cancel_after_acquire,1,0,40,9541,11084,7917,16208,0,0
engine_execution,resource_cleanup_error_upstream,3,1,40,16937,19375,14291,19625,0,0
engine_execution,resource_normal,2,1,40,13833,15375,10500,16291,0,0
engine_execution,resource_release_failure,2,1,40,13645,32042,11000,79708,0,0
engine_execution,resource_startup_failure,2,1,40,13437,15041,10500,16541,0,0
engine_execution,retry_one_failure,1,0,40,8478,9166,6625,9500,0,0
engine_execution,service_restart_exhausted,1,0,40,11000,11625,8708,11750,0,0
engine_execution,service_restart_stable_handle,1,0,40,16416,18375,13000,40333,0,0
engine_execution,tiny_yield_chain,1,0,40,7229,7583,5500,8417,0,0
engine_execution,trace_default,100,99,40,330645,343083,300583,367458,0,0
engine_execution,trace_observer,100,99,40,332479,350125,308042,355792,0,0
engine_execution_alloc,component_flat,10,9,0,,,,,589,46368
engine_execution_alloc,component_flat,100,99,0,,,,,5366,523200
engine_execution_alloc,component_nested,13,12,0,,,,,875,61257
engine_execution_alloc,component_nested,103,102,0,,,,,6642,655449
engine_execution_alloc,component_repeated_typed_10,10,10,0,,,,,1432,97750
engine_execution_alloc,component_repeated_typed_100,100,100,0,,,,,22773,1473510
engine_execution_alloc,component_repeated_typed_2,2,2,0,,,,,314,25438
engine_execution_alloc,dynamic_live_instances_1,3,2,0,,,,,642,59565
