phase,workload,nodes,edges,samples,median_ns,p95_ns,min_ns,max_ns,allocations,allocated_bytes
adapter_setup,current_thread_runtime,0,0,40,1000,1300,900,4000,0,0
body_state_setup,graph_chain,1,0,40,200,400,200,600,0,0
body_state_setup,graph_chain,10,9,40,300,400,200,500,0,0
body_state_setup,graph_chain,100,99,40,400,400,300,700,0,0
body_state_setup,graph_chain,1000,999,40,800,11300,700,12300,0,0
body_state_setup,graph_sparse,1,0,40,200,300,200,700,0,0
body_state_setup,graph_sparse,10,9,40,200,300,200,400,0,0
body_state_setup,graph_sparse,100,99,40,400,600,300,900,0,0
body_state_setup,graph_sparse,1000,999,40,700,1000,600,93200,0,0
body_state_setup,graph_wide,1,0,40,200,300,200,500,0,0
body_state_setup,graph_wide,10,9,40,200,300,200,600,0,0
body_state_setup,graph_wide,100,99,40,400,400,300,700,0,0
body_state_setup,graph_wide,1000,999,40,700,5800,600,5900,0,0
body_state_setup,tiny_yield_chain,1,0,40,200,300,200,300,0,0
engine_execution,component_flat,10,9,40,27100,27800,26800,30100,0,0
engine_execution,component_flat,100,99,40,308950,324700,302500,330500,0,0
engine_execution,component_nested,13,12,40,40300,41800,39800,44600,0,0
engine_execution,component_nested,103,102,40,375950,396500,371800,397200,0,0
engine_execution,component_repeated_typed_10,10,10,40,60900,62500,60000,69600,0,0
engine_execution,component_repeated_typed_100,100,100,40,1078300,1115900,1061900,1162300,0,0
engine_execution,component_repeated_typed_2,2,2,40,13500,14100,13000,17000,0,0
engine_execution,dynamic_live_instances_1,3,2,40,30150,33000,29600,35800,0,0
engine_execution,dynamic_live_instances_10,3,2,40,224200,275600,217500,296000,0,0
engine_execution,dynamic_live_instances_100,3,2,40,4153750,4382000,3632500,5059100,0,0
engine_execution,dynamic_sequential_churn_1,2,1,40,26000,26700,25400,29500,0,0
engine_execution,dynamic_sequential_churn_10,2,1,40,171500,180100,168600,184700,0,0
engine_execution,dynamic_sequential_churn_100,2,1,40,1896100,2149400,1848200,2193400,0,0
engine_execution,effect_known_receipt,1,0,40,9150,9400,8900,9500,0,0
engine_execution,effect_unknown_recovery_failed,1,0,40,8950,17600,8100,54800,0,0
engine_execution,effect_unknown_recovery_resolved,1,0,40,8000,8800,7700,10800,0,0
engine_execution,graph_chain,1,0,40,5100,5400,4900,6100,0,0
engine_execution,graph_chain,10,9,40,29600,30900,28800,35000,0,0
engine_execution,graph_chain,100,99,40,350500,365200,334900,377400,0,0
engine_execution,graph_chain,1000,999,40,10713700,10959400,10578700,11084300,0,0
engine_execution,graph_sparse,1,0,40,5000,5300,4800,6400,0,0
engine_execution,graph_sparse,10,9,40,27400,38600,26900,40600,0,0
engine_execution,graph_sparse,100,99,40,329050,339400,298600,346700,0,0
engine_execution,graph_sparse,1000,999,40,8904650,9388100,8319900,9607200,0,0
engine_execution,graph_wide,1,0,40,5100,5400,4900,6100,0,0
engine_execution,graph_wide,10,9,40,28250,33200,26600,41100,0,0
engine_execution,graph_wide,100,99,40,312050,359100,298300,370800,0,0
engine_execution,graph_wide,1000,999,40,7821350,8039100,7638800,8524100,0,0
engine_execution,resident_ready_shutdown,1,0,40,7850,8600,7700,61100,0,0
engine_execution,resource_cancel_after_acquire,1,0,40,8550,9100,8400,16300,0,0
engine_execution,resource_cleanup_error_upstream,3,1,40,15100,19500,14700,19700,0,0
engine_execution,resource_normal,2,1,40,9800,10100,9500,11600,0,0
engine_execution,resource_release_failure,2,1,40,10300,10600,10100,12900,0,0
engine_execution,resource_startup_failure,2,1,40,10200,10500,9900,10800,0,0
engine_execution,retry_one_failure,1,0,40,7800,8100,7600,8300,0,0
engine_execution,service_restart_exhausted,1,0,40,9100,9600,8800,11200,0,0
engine_execution,service_restart_stable_handle,1,0,40,11800,12100,11500,14700,0,0
engine_execution,tiny_yield_chain,1,0,40,5100,5200,5000,9500,0,0
engine_execution,trace_default,100,99,40,310350,320700,304500,322200,0,0
engine_execution,trace_observer,100,99,40,309050,313400,303100,318900,0,0
engine_execution_alloc,component_flat,10,9,0,,,,,572,44928
engine_execution_alloc,component_flat,100,99,0,,,,,5259,513144
engine_execution_alloc,component_nested,13,12,0,,,,,855,59553
engine_execution_alloc,component_nested,103,102,0,,,,,6532,645129
engine_execution_alloc,component_repeated_typed_10,10,10,0,,,,,1405,95590
engine_execution_alloc,component_repeated_typed_100,100,100,0,,,,,22566,1456254
engine_execution_alloc,component_repeated_typed_2,2,2,0,,,,,303,24606
engine_execution_alloc,dynamic_live_instances_1,3,2,0,,,,,610,58061
engine_execution_alloc,dynamic_live_instances_10,3,2,0,,,,,4384,421871
engine_execution_alloc,dynamic_live_instances_100,3,2,0,,,,,68743,5486899
engine_execution_alloc,dynamic_sequential_churn_1,2,1,0,,,,,532,47603
engine_execution_alloc,dynamic_sequential_churn_10,2,1,0,,,,,3398,312367
engine_execution_alloc,dynamic_sequential_churn_100,2,1,0,,,,,31800,3397895
engine_execution_alloc,effect_known_receipt,1,0,0,,,,,149,14826
engine_execution_alloc,effect_unknown_recovery_failed,1,0,0,,,,,151,15667
engine_execution_alloc,effect_unknown_recovery_resolved,1,0,0,,,,,144,14963
