phase,workload,nodes,edges,sample,nanos,allocations,allocated_bytes,checksum
adapter_setup,current_thread_runtime,0,0,0,4200,0,0,0
adapter_setup,current_thread_runtime,0,0,1,1300,0,0,0
adapter_setup,current_thread_runtime,0,0,2,1200,0,0,0
adapter_setup,current_thread_runtime,0,0,3,1100,0,0,0
adapter_setup,current_thread_runtime,0,0,4,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,5,1200,0,0,0
adapter_setup,current_thread_runtime,0,0,6,1100,0,0,0
adapter_setup,current_thread_runtime,0,0,7,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,8,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,9,1200,0,0,0
adapter_setup,current_thread_runtime,0,0,10,1100,0,0,0
adapter_setup,current_thread_runtime,0,0,11,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,12,1100,0,0,0
adapter_setup,current_thread_runtime,0,0,13,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,14,1300,0,0,0
adapter_setup,current_thread_runtime,0,0,15,1300,0,0,0
adapter_setup,current_thread_runtime,0,0,16,1200,0,0,0
adapter_setup,current_thread_runtime,0,0,17,1300,0,0,0
adapter_setup,current_thread_runtime,0,0,18,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,19,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,20,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,21,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,22,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,23,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,24,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,25,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,26,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,27,1100,0,0,0
adapter_setup,current_thread_runtime,0,0,28,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,29,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,30,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,31,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,32,900,0,0,0
adapter_setup,current_thread_runtime,0,0,33,1100,0,0,0
adapter_setup,current_thread_runtime,0,0,34,900,0,0,0
adapter_setup,current_thread_runtime,0,0,35,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,36,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,37,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,38,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,39,1000,0,0,0
fixture_generation,graph_chain,1,0,0,300,0,0,5
