phase,workload,nodes,edges,sample,nanos,allocations,allocated_bytes,checksum
adapter_setup,current_thread_runtime,0,0,0,2400,0,0,0
adapter_setup,current_thread_runtime,0,0,1,1200,0,0,0
adapter_setup,current_thread_runtime,0,0,2,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,3,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,4,900,0,0,0
adapter_setup,current_thread_runtime,0,0,5,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,6,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,7,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,8,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,9,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,10,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,11,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,12,900,0,0,0
adapter_setup,current_thread_runtime,0,0,13,900,0,0,0
adapter_setup,current_thread_runtime,0,0,14,1200,0,0,0
adapter_setup,current_thread_runtime,0,0,15,1200,0,0,0
adapter_setup,current_thread_runtime,0,0,16,1100,0,0,0
adapter_setup,current_thread_runtime,0,0,17,1100,0,0,0
adapter_setup,current_thread_runtime,0,0,18,900,0,0,0
adapter_setup,current_thread_runtime,0,0,19,900,0,0,0
adapter_setup,current_thread_runtime,0,0,20,900,0,0,0
adapter_setup,current_thread_runtime,0,0,21,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,22,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,23,900,0,0,0
adapter_setup,current_thread_runtime,0,0,24,900,0,0,0
adapter_setup,current_thread_runtime,0,0,25,900,0,0,0
adapter_setup,current_thread_runtime,0,0,26,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,27,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,28,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,29,900,0,0,0
adapter_setup,current_thread_runtime,0,0,30,900,0,0,0
adapter_setup,current_thread_runtime,0,0,31,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,32,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,33,3700,0,0,0
adapter_setup,current_thread_runtime,0,0,34,1100,0,0,0
adapter_setup,current_thread_runtime,0,0,35,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,36,900,0,0,0
adapter_setup,current_thread_runtime,0,0,37,900,0,0,0
adapter_setup,current_thread_runtime,0,0,38,900,0,0,0
adapter_setup,current_thread_runtime,0,0,39,1000,0,0,0
fixture_generation,graph_chain,1,0,0,200,0,0,5
fixture_generation,graph_chain,1,0,1,200,0,0,5
fixture_generation,graph_chain,1,0,2,200,0,0,5
fixture_generation,graph_chain,1,0,3,200,0,0,5
fixture_generation,graph_chain,1,0,4,100,0,0,5
fixture_generation,graph_chain,1,0,5,100,0,0,5
fixture_generation,graph_chain,1,0,6,200,0,0,5
fixture_generation,graph_chain,1,0,7,100,0,0,5
fixture_generation,graph_chain,1,0,8,100,0,0,5
fixture_generation,graph_chain,1,0,9,200,0,0,5
fixture_generation,graph_chain,1,0,10,100,0,0,5
fixture_generation,graph_chain,1,0,11,100,0,0,5
fixture_generation,graph_chain,1,0,12,100,0,0,5
fixture_generation,graph_chain,1,0,13,200,0,0,5
fixture_generation,graph_chain,1,0,14,100,0,0,5
fixture_generation,graph_chain,1,0,15,100,0,0,5
fixture_generation,graph_chain,1,0,16,200,0,0,5
fixture_generation,graph_chain,1,0,17,100,0,0,5
fixture_generation,graph_chain,1,0,18,100,0,0,5
fixture_generation,graph_chain,1,0,19,200,0,0,5
plan_build,graph_chain,1,0,0,8000,0,0,11
plan_build,graph_chain,1,0,1,2200,0,0,11
plan_build,graph_chain,1,0,2,1600,0,0,11
plan_build,graph_chain,1,0,3,1500,0,0,11
plan_build,graph_chain,1,0,4,1500,0,0,11
plan_build,graph_chain,1,0,5,1600,0,0,11
plan_build,graph_chain,1,0,6,1500,0,0,11
plan_build,graph_chain,1,0,7,1900,0,0,11
plan_build,graph_chain,1,0,8,1800,0,0,11
plan_build,graph_chain,1,0,9,1800,0,0,11
plan_build,graph_chain,1,0,10,1800,0,0,11
plan_build,graph_chain,1,0,11,1600,0,0,11
plan_build,graph_chain,1,0,12,1600,0,0,11
plan_build,graph_chain,1,0,13,1600,0,0,11
plan_build,graph_chain,1,0,14,1600,0,0,11
plan_build,graph_chain,1,0,15,1600,0,0,11
plan_build,graph_chain,1,0,16,1300,0,0,11
plan_build,graph_chain,1,0,17,1300,0,0,11
plan_build,graph_chain,1,0,18,1300,0,0,11
plan_build,graph_chain,1,0,19,1300,0,0,11
plan_build_alloc,graph_chain,1,0,0,0,36,6722,11
engine_execution,graph_chain,1,0,0,5100,0,0,1
engine_execution,graph_chain,1,0,1,5200,0,0,0
engine_execution,graph_chain,1,0,2,5200,0,0,3
engine_execution,graph_chain,1,0,3,5200,0,0,2
engine_execution,graph_chain,1,0,4,5200,0,0,5
engine_execution,graph_chain,1,0,5,5000,0,0,4
engine_execution,graph_chain,1,0,6,5100,0,0,7
engine_execution,graph_chain,1,0,7,5000,0,0,6
engine_execution,graph_chain,1,0,8,5000,0,0,9
engine_execution,graph_chain,1,0,9,5100,0,0,8
engine_execution,graph_chain,1,0,10,5100,0,0,11
engine_execution,graph_chain,1,0,11,5100,0,0,10
engine_execution,graph_chain,1,0,12,5100,0,0,13
engine_execution,graph_chain,1,0,13,5100,0,0,12
engine_execution,graph_chain,1,0,14,5100,0,0,15
engine_execution,graph_chain,1,0,15,5100,0,0,14
engine_execution,graph_chain,1,0,16,5200,0,0,17
engine_execution,graph_chain,1,0,17,5300,0,0,16
engine_execution,graph_chain,1,0,18,5200,0,0,19
engine_execution,graph_chain,1,0,19,5100,0,0,18
engine_execution,graph_chain,1,0,20,5000,0,0,21
engine_execution,graph_chain,1,0,21,5100,0,0,20
engine_execution,graph_chain,1,0,22,5100,0,0,23
engine_execution,graph_chain,1,0,23,5100,0,0,22
engine_execution,graph_chain,1,0,24,5100,0,0,25
engine_execution,graph_chain,1,0,25,5100,0,0,24
engine_execution,graph_chain,1,0,26,5000,0,0,27
engine_execution,graph_chain,1,0,27,5100,0,0,26
engine_execution,graph_chain,1,0,28,5200,0,0,29
engine_execution,graph_chain,1,0,29,5100,0,0,28
engine_execution,graph_chain,1,0,30,5400,0,0,31
engine_execution,graph_chain,1,0,31,5400,0,0,30
engine_execution,graph_chain,1,0,32,5300,0,0,33
engine_execution,graph_chain,1,0,33,5400,0,0,32
engine_execution,graph_chain,1,0,34,5400,0,0,35
engine_execution,graph_chain,1,0,35,6400,0,0,34
engine_execution,graph_chain,1,0,36,5300,0,0,37
engine_execution,graph_chain,1,0,37,5300,0,0,36
engine_execution,graph_chain,1,0,38,5200,0,0,39
engine_execution,graph_chain,1,0,39,5300,0,0,38
engine_execution_alloc,graph_chain,1,0,0,0,99,11356,23131
machine_state_setup,graph_chain,1,0,0,400,0,0,1
body_state_setup,graph_chain,1,0,0,400,0,0,0
machine_state_setup,graph_chain,1,0,1,200,0,0,1
body_state_setup,graph_chain,1,0,1,200,0,0,0
machine_state_setup,graph_chain,1,0,2,200,0,0,1
body_state_setup,graph_chain,1,0,2,500,0,0,0
machine_state_setup,graph_chain,1,0,3,300,0,0,1
body_state_setup,graph_chain,1,0,3,300,0,0,0
machine_state_setup,graph_chain,1,0,4,300,0,0,1
body_state_setup,graph_chain,1,0,4,300,0,0,0
machine_state_setup,graph_chain,1,0,5,200,0,0,1
body_state_setup,graph_chain,1,0,5,200,0,0,0
machine_state_setup,graph_chain,1,0,6,200,0,0,1
body_state_setup,graph_chain,1,0,6,200,0,0,0
machine_state_setup,graph_chain,1,0,7,300,0,0,1
body_state_setup,graph_chain,1,0,7,200,0,0,0
machine_state_setup,graph_chain,1,0,8,200,0,0,1
body_state_setup,graph_chain,1,0,8,200,0,0,0
machine_state_setup,graph_chain,1,0,9,200,0,0,1
body_state_setup,graph_chain,1,0,9,300,0,0,0
machine_state_setup,graph_chain,1,0,10,200,0,0,1
body_state_setup,graph_chain,1,0,10,300,0,0,0
machine_state_setup,graph_chain,1,0,11,200,0,0,1
body_state_setup,graph_chain,1,0,11,200,0,0,0
machine_state_setup,graph_chain,1,0,12,200,0,0,1
body_state_setup,graph_chain,1,0,12,200,0,0,0
machine_state_setup,graph_chain,1,0,13,200,0,0,1
body_state_setup,graph_chain,1,0,13,200,0,0,0
machine_state_setup,graph_chain,1,0,14,200,0,0,1
body_state_setup,graph_chain,1,0,14,200,0,0,0
machine_state_setup,graph_chain,1,0,15,200,0,0,1
body_state_setup,graph_chain,1,0,15,200,0,0,0
machine_state_setup,graph_chain,1,0,16,200,0,0,1
body_state_setup,graph_chain,1,0,16,200,0,0,0
machine_state_setup,graph_chain,1,0,17,200,0,0,1
body_state_setup,graph_chain,1,0,17,300,0,0,0
machine_state_setup,graph_chain,1,0,18,200,0,0,1
body_state_setup,graph_chain,1,0,18,200,0,0,0
machine_state_setup,graph_chain,1,0,19,200,0,0,1
body_state_setup,graph_chain,1,0,19,200,0,0,0
machine_state_setup,graph_chain,1,0,20,200,0,0,1
body_state_setup,graph_chain,1,0,20,200,0,0,0
machine_state_setup,graph_chain,1,0,21,200,0,0,1
body_state_setup,graph_chain,1,0,21,200,0,0,0
machine_state_setup,graph_chain,1,0,22,200,0,0,1
body_state_setup,graph_chain,1,0,22,300,0,0,0
machine_state_setup,graph_chain,1,0,23,200,0,0,1
body_state_setup,graph_chain,1,0,23,300,0,0,0
machine_state_setup,graph_chain,1,0,24,200,0,0,1
body_state_setup,graph_chain,1,0,24,300,0,0,0
machine_state_setup,graph_chain,1,0,25,200,0,0,1
body_state_setup,graph_chain,1,0,25,200,0,0,0
machine_state_setup,graph_chain,1,0,26,200,0,0,1
body_state_setup,graph_chain,1,0,26,200,0,0,0
machine_state_setup,graph_chain,1,0,27,200,0,0,1
body_state_setup,graph_chain,1,0,27,200,0,0,0
machine_state_setup,graph_chain,1,0,28,200,0,0,1
body_state_setup,graph_chain,1,0,28,200,0,0,0
machine_state_setup,graph_chain,1,0,29,200,0,0,1
body_state_setup,graph_chain,1,0,29,300,0,0,0
machine_state_setup,graph_chain,1,0,30,200,0,0,1
body_state_setup,graph_chain,1,0,30,300,0,0,0
machine_state_setup,graph_chain,1,0,31,200,0,0,1
body_state_setup,graph_chain,1,0,31,300,0,0,0
machine_state_setup,graph_chain,1,0,32,200,0,0,1
body_state_setup,graph_chain,1,0,32,600,0,0,0
machine_state_setup,graph_chain,1,0,33,200,0,0,1
body_state_setup,graph_chain,1,0,33,400,0,0,0
machine_state_setup,graph_chain,1,0,34,200,0,0,1
body_state_setup,graph_chain,1,0,34,300,0,0,0
machine_state_setup,graph_chain,1,0,35,200,0,0,1
body_state_setup,graph_chain,1,0,35,200,0,0,0
machine_state_setup,graph_chain,1,0,36,200,0,0,1
body_state_setup,graph_chain,1,0,36,300,0,0,0
machine_state_setup,graph_chain,1,0,37,200,0,0,1
body_state_setup,graph_chain,1,0,37,300,0,0,0
machine_state_setup,graph_chain,1,0,38,200,0,0,1
body_state_setup,graph_chain,1,0,38,200,0,0,0
machine_state_setup,graph_chain,1,0,39,200,0,0,1
body_state_setup,graph_chain,1,0,39,300,0,0,0
pure_machine_events_preseeded,graph_chain,1,0,0,1900,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,1,1100,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,2,1000,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,3,1100,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,4,1000,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,5,1000,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,6,1000,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,7,1000,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,8,1000,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,9,1000,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,10,1000,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,11,900,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,12,900,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,13,1000,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,14,1000,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,15,1000,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,16,1000,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,17,1000,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,18,1000,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,19,1000,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,20,900,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,21,900,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,22,1000,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,23,1000,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,24,1000,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,25,900,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,26,1000,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,27,900,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,28,1000,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,29,900,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,30,1000,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,31,900,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,32,1000,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,33,1000,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,34,1000,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,35,1000,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,36,900,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,37,900,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,38,1000,0,0,1
pure_machine_events_preseeded,graph_chain,1,0,39,1000,0,0,1
fixture_generation,graph_wide,1,0,0,200,0,0,5
fixture_generation,graph_wide,1,0,1,100,0,0,5
fixture_generation,graph_wide,1,0,2,100,0,0,5
fixture_generation,graph_wide,1,0,3,100,0,0,5
fixture_generation,graph_wide,1,0,4,200,0,0,5
fixture_generation,graph_wide,1,0,5,200,0,0,5
fixture_generation,graph_wide,1,0,6,300,0,0,5
fixture_generation,graph_wide,1,0,7,100,0,0,5
fixture_generation,graph_wide,1,0,8,100,0,0,5
fixture_generation,graph_wide,1,0,9,200,0,0,5
fixture_generation,graph_wide,1,0,10,200,0,0,5
fixture_generation,graph_wide,1,0,11,100,0,0,5
fixture_generation,graph_wide,1,0,12,100,0,0,5
fixture_generation,graph_wide,1,0,13,200,0,0,5
fixture_generation,graph_wide,1,0,14,100,0,0,5
fixture_generation,graph_wide,1,0,15,300,0,0,5
fixture_generation,graph_wide,1,0,16,300,0,0,5
fixture_generation,graph_wide,1,0,17,500,0,0,5
fixture_generation,graph_wide,1,0,18,300,0,0,5
fixture_generation,graph_wide,1,0,19,200,0,0,5
plan_build,graph_wide,1,0,0,9100,0,0,10
plan_build,graph_wide,1,0,1,1500,0,0,10
plan_build,graph_wide,1,0,2,1400,0,0,10
plan_build,graph_wide,1,0,3,1400,0,0,10
plan_build,graph_wide,1,0,4,1400,0,0,10
plan_build,graph_wide,1,0,5,1400,0,0,10
plan_build,graph_wide,1,0,6,1400,0,0,10
plan_build,graph_wide,1,0,7,1300,0,0,10
plan_build,graph_wide,1,0,8,1500,0,0,10
plan_build,graph_wide,1,0,9,1400,0,0,10
plan_build,graph_wide,1,0,10,1400,0,0,10
plan_build,graph_wide,1,0,11,1300,0,0,10
plan_build,graph_wide,1,0,12,1200,0,0,10
plan_build,graph_wide,1,0,13,1300,0,0,10
plan_build,graph_wide,1,0,14,1300,0,0,10
plan_build,graph_wide,1,0,15,1300,0,0,10
plan_build,graph_wide,1,0,16,1300,0,0,10
plan_build,graph_wide,1,0,17,1300,0,0,10
plan_build,graph_wide,1,0,18,1400,0,0,10
plan_build,graph_wide,1,0,19,1300,0,0,10
plan_build_alloc,graph_wide,1,0,0,0,36,6720,10
engine_execution,graph_wide,1,0,0,5000,0,0,1
engine_execution,graph_wide,1,0,1,5100,0,0,0
engine_execution,graph_wide,1,0,2,5100,0,0,3
engine_execution,graph_wide,1,0,3,5200,0,0,2
engine_execution,graph_wide,1,0,4,5100,0,0,5
engine_execution,graph_wide,1,0,5,5200,0,0,4
engine_execution,graph_wide,1,0,6,5300,0,0,7
engine_execution,graph_wide,1,0,7,5300,0,0,6
engine_execution,graph_wide,1,0,8,5200,0,0,9
engine_execution,graph_wide,1,0,9,5200,0,0,8
