phase,workload,nodes,edges,sample,nanos,allocations,allocated_bytes,peak_live_bytes,retained_bytes,checksum
lifecycle_sdax_alloc,normal_release,2,1,0,0,206,19845,11391,0,8618
lifecycle_sdax_alloc,normal_release,2,1,1,0,206,19845,11391,0,8618
lifecycle_sdax_alloc,normal_release,2,1,2,0,206,19845,11391,0,8618
lifecycle_sdax_alloc,normal_release,2,1,3,0,206,19845,11391,0,8618
lifecycle_sdax_alloc,normal_release,2,1,4,0,206,19845,11391,0,8618
lifecycle_tokio_alloc,normal_release,2,1,0,0,5,856,296,0,8618
lifecycle_tokio_alloc,normal_release,2,1,1,0,5,856,296,0,8618
lifecycle_tokio_alloc,normal_release,2,1,2,0,5,856,296,0,8618
lifecycle_tokio_alloc,normal_release,2,1,3,0,5,856,296,0,8618
lifecycle_tokio_alloc,normal_release,2,1,4,0,5,856,296,0,8618
lifecycle_sdax_alloc,partial_startup_failure,2,1,0,0,222,21696,11866,0,8577
lifecycle_sdax_alloc,partial_startup_failure,2,1,1,0,222,21696,11866,0,8577
lifecycle_sdax_alloc,partial_startup_failure,2,1,2,0,222,21696,11866,0,8577
lifecycle_sdax_alloc,partial_startup_failure,2,1,3,0,222,21696,11866,0,8577
lifecycle_sdax_alloc,partial_startup_failure,2,1,4,0,222,21696,11866,0,8577
lifecycle_tokio_alloc,partial_startup_failure,2,1,0,0,14,1180,516,0,8577
lifecycle_tokio_alloc,partial_startup_failure,2,1,1,0,14,1180,516,0,8577
lifecycle_tokio_alloc,partial_startup_failure,2,1,2,0,14,1180,516,0,8577
lifecycle_tokio_alloc,partial_startup_failure,2,1,3,0,14,1180,516,0,8577
lifecycle_tokio_alloc,partial_startup_failure,2,1,4,0,14,1180,516,0,8577
lifecycle_sdax_alloc,downstream_cleanup_failure,3,2,0,0,327,27639,13821,0,17064
lifecycle_sdax_alloc,downstream_cleanup_failure,3,2,1,0,327,27639,13821,0,17064
lifecycle_sdax_alloc,downstream_cleanup_failure,3,2,2,0,327,27639,13821,0,17064
lifecycle_sdax_alloc,downstream_cleanup_failure,3,2,3,0,327,27639,13821,0,17064
lifecycle_sdax_alloc,downstream_cleanup_failure,3,2,4,0,327,27639,13821,0,17064
lifecycle_tokio_alloc,downstream_cleanup_failure,3,2,0,0,16,1743,535,0,17064
lifecycle_tokio_alloc,downstream_cleanup_failure,3,2,1,0,16,1743,535,0,17064
lifecycle_tokio_alloc,downstream_cleanup_failure,3,2,2,0,16,1743,535,0,17064
lifecycle_tokio_alloc,downstream_cleanup_failure,3,2,3,0,16,1743,535,0,17064
lifecycle_tokio_alloc,downstream_cleanup_failure,3,2,4,0,16,1743,535,0,17064
lifecycle_sdax_alloc,cancel_after_acquisition,1,0,0,0,175,16885,10187,0,8448
lifecycle_sdax_alloc,cancel_after_acquisition,1,0,1,0,175,16885,10187,0,8448
lifecycle_sdax_alloc,cancel_after_acquisition,1,0,2,0,175,16885,10187,0,8448
lifecycle_sdax_alloc,cancel_after_acquisition,1,0,3,0,175,16885,10187,0,8448
lifecycle_sdax_alloc,cancel_after_acquisition,1,0,4,0,175,16885,10187,0,8448
lifecycle_tokio_alloc,cancel_after_acquisition,1,0,0,0,6,688,400,0,8448
lifecycle_tokio_alloc,cancel_after_acquisition,1,0,1,0,6,688,400,0,8448
lifecycle_tokio_alloc,cancel_after_acquisition,1,0,2,0,6,688,400,0,8448
lifecycle_tokio_alloc,cancel_after_acquisition,1,0,3,0,6,688,400,0,8448
lifecycle_tokio_alloc,cancel_after_acquisition,1,0,4,0,6,688,400,0,8448
