phase,workload,nodes,edges,samples,p05_ns,median_ns,p95_ns,min_ns,max_ns,allocations,allocated_bytes,peak_live_bytes,retained_bytes
adapter_setup,current_thread_runtime,0,0,40,2722,3102,3685,2704,69722,0,0,0,0
body_state_setup,graph_chain,1,0,40,500,574,648,500,777,0,0,0,0
body_state_setup,graph_chain,10,9,40,481,500,556,481,963,0,0,0,0
body_state_setup,graph_chain,100,99,40,2796,2935,3074,2760,3500,0,0,0,0
body_state_setup,graph_chain,1000,999,40,2500,2630,3481,2445,5685,0,0,0,0
body_state_setup,graph_sparse,1,0,40,500,519,704,500,796,0,0,0,0
body_state_setup,graph_sparse,10,9,40,481,500,556,481,704,0,0,0,0
body_state_setup,graph_sparse,100,99,40,2777,2908,3074,2723,3593,0,0,0,0
body_state_setup,graph_sparse,1000,999,40,2555,2703,3685,2500,5648,0,0,0,0
body_state_setup,graph_wide,1,0,40,500,519,630,481,722,0,0,0,0
body_state_setup,graph_wide,10,9,40,481,509,556,481,722,0,0,0,0
body_state_setup,graph_wide,100,99,40,2926,3083,3574,2870,4852,0,0,0,0
body_state_setup,graph_wide,1000,999,40,2537,2814,4092,2537,6500,0,0,0,0
body_state_setup,tiny_yield_chain,1,0,40,352,407,463,351,519,0,0,0,0
engine_execution,component_flat,10,9,40,62611,63398,64334,62371,64519,0,0,0,0
engine_execution,component_flat,100,99,40,776650,779410,791984,775336,833817,0,0,0,0
engine_execution,component_nested,13,12,40,89834,90861,92981,89667,127482,0,0,0,0
engine_execution,component_nested,103,102,40,943984,948669,954503,943559,955281,0,0,0,0
engine_execution,component_repeated_typed_10,10,10,40,143149,144768,146575,143001,149278,0,0,0,0
engine_execution,component_repeated_typed_100,100,100,40,2663045,2673628,2705157,2662805,2776101,0,0,0,0
engine_execution,component_repeated_typed_2,2,2,40,29056,29528,30426,28889,30926,0,0,0,0
engine_execution,dynamic_live_instances_1,3,2,40,67629,68601,70056,67463,74537,0,0,0,0
engine_execution,dynamic_live_instances_10,3,2,40,530613,532788,538909,529261,564372,0,0,0,0
engine_execution,dynamic_live_instances_100,3,2,40,9649437,9692058,10287069,9644678,10547681,0,0,0,0
engine_execution,dynamic_sequential_churn_1,2,1,40,59260,60519,62241,58926,69703,0,0,0,0
engine_execution,dynamic_sequential_churn_10,2,1,40,388834,391399,395908,388742,399001,0,0,0,0
engine_execution,dynamic_sequential_churn_100,2,1,40,3613011,3628168,3679345,3611585,3734419,0,0,0,0
engine_execution,effect_known_receipt,1,0,40,16314,16574,17130,16185,17963,0,0,0,0
engine_execution,effect_unknown_recovery_failed,1,0,40,17722,17935,18574,17703,26926,0,0,0,0
engine_execution,effect_unknown_recovery_resolved,1,0,40,16352,16703,17129,16315,17167,0,0,0,0
engine_execution,graph_chain,1,0,40,16519,17018,17666,16500,18056,0,0,0,0
engine_execution,graph_chain,10,9,40,94778,96528,97963,94741,145297,0,0,0,0
engine_execution,graph_chain,100,99,40,1114208,1157883,1204059,832039,1271689,0,0,0,0
engine_execution,graph_chain,1000,999,40,34536588,35402313,35699925,34443255,37341263,0,0,0,0
engine_execution,graph_sparse,1,0,40,16611,16972,17445,16574,17556,0,0,0,0
engine_execution,graph_sparse,10,9,40,92741,94000,95667,92519,115112,0,0,0,0
engine_execution,graph_sparse,100,99,40,714873,718048,726817,714187,732799,0,0,0,0
engine_execution,graph_sparse,1000,999,40,26222192,26343118,27100564,26213562,28244957,0,0,0,0
engine_execution,graph_wide,1,0,40,16667,16935,17407,16666,17556,0,0,0,0
engine_execution,graph_wide,10,9,40,91778,93454,95056,91574,106148,0,0,0,0
engine_execution,graph_wide,100,99,40,662262,666020,702688,662076,1362764,0,0,0,0
engine_execution,graph_wide,1000,999,40,18502983,18684437,19257356,18432816,21086861,0,0,0,0
engine_execution,resident_ready_shutdown,1,0,40,16759,17111,17408,16611,17463,0,0,0,0
engine_execution,resource_cancel_after_acquire,1,0,40,19111,19611,20815,18981,30889,0,0,0,0
engine_execution,resource_cleanup_error_upstream,3,1,40,34686,35130,35667,34593,43241,0,0,0,0
engine_execution,resource_normal,2,1,40,22630,22916,23204,22278,44555,0,0,0,0
engine_execution,resource_release_failure,2,1,40,23926,24111,24445,23593,24834,0,0,0,0
engine_execution,resource_startup_failure,2,1,40,23722,23991,24426,23704,24740,0,0,0,0
engine_execution,retry_one_failure,1,0,40,16389,16870,17278,16370,18074,0,0,0,0
engine_execution,service_restart_exhausted,1,0,40,19445,19824,20333,19185,20908,0,0,0,0
engine_execution,service_restart_stable_handle,1,0,40,25981,26416,27148,25889,34667,0,0,0,0
engine_execution,tiny_yield_chain,1,0,40,11445,11685,11871,11444,12204,0,0,0,0
engine_execution,trace_default,100,99,40,777225,780104,786854,775818,787447,0,0,0,0
engine_execution,trace_observer,100,99,40,780780,784317,788576,780039,795688,0,0,0,0
engine_execution_alloc,component_flat,10,9,0,,,,,,575,47080,0,0
engine_execution_alloc,component_flat,100,99,0,,,,,,5262,533272,0,0
engine_execution_alloc,component_nested,13,12,0,,,,,,858,62385,0,0
engine_execution_alloc,component_nested,103,102,0,,,,,,6535,665937,0,0
engine_execution_alloc,component_repeated_typed_10,10,10,0,,,,,,1408,99870,0,0
engine_execution_alloc,component_repeated_typed_100,100,100,0,,,,,,22569,1497230,0,0
engine_execution_alloc,component_repeated_typed_2,2,2,0,,,,,,306,25590,0,0
engine_execution_alloc,dynamic_live_instances_1,3,2,0,,,,,,615,63231,0,0
engine_execution_alloc,dynamic_live_instances_10,3,2,0,,,,,,4382,470925,0,0
engine_execution_alloc,dynamic_live_instances_100,3,2,0,,,,,,68263,5172559,0,0
engine_execution_alloc,dynamic_sequential_churn_1,2,1,0,,,,,,538,52749,0,0
engine_execution_alloc,dynamic_sequential_churn_10,2,1,0,,,,,,3495,324339,0,0
engine_execution_alloc,dynamic_sequential_churn_100,2,1,0,,,,,,32982,2932143,0,0
engine_execution_alloc,effect_known_receipt,1,0,0,,,,,,152,15266,0,0
engine_execution_alloc,effect_unknown_recovery_failed,1,0,0,,,,,,154,16091,0,0
engine_execution_alloc,effect_unknown_recovery_resolved,1,0,0,,,,,,147,15403,0,0
engine_execution_alloc,graph_chain,1,0,0,,,,,,102,11796,0,0
engine_execution_alloc,graph_chain,10,9,0,,,,,,575,47080,0,0
engine_execution_alloc,graph_chain,100,99,0,,,,,,5262,533272,0,0
engine_execution_alloc,graph_chain,1000,999,0,,,,,,52069,19679208,0,0
engine_execution_alloc,graph_sparse,1,0,0,,,,,,102,11797,0,0
engine_execution_alloc,graph_sparse,10,9,0,,,,,,567,48041,0,0
engine_execution_alloc,graph_sparse,100,99,0,,,,,,5166,514425,0,0
engine_execution_alloc,graph_sparse,1000,999,0,,,,,,51109,15933385,0,0
engine_execution_alloc,graph_wide,1,0,0,,,,,,102,11795,0,0
engine_execution_alloc,graph_wide,10,9,0,,,,,,558,48999,0,0
engine_execution_alloc,graph_wide,100,99,0,,,,,,4990,488503,0,0
engine_execution_alloc,graph_wide,1000,999,0,,,,,,49164,12018743,0,0
engine_execution_alloc,resource_cleanup_error_upstream,3,1,0,,,,,,317,26719,0,0
engine_execution_alloc,resource_normal,2,1,0,,,,,,205,19770,0,0
engine_execution_alloc,resource_release_failure,2,1,0,,,,,,215,20513,0,0
engine_execution_alloc,resource_startup_failure,2,1,0,,,,,,212,20817,0,0
engine_execution_alloc,retry_one_failure,1,0,0,,,,,,155,15433,0,0
engine_execution_alloc,service_restart_exhausted,1,0,0,,,,,,185,17964,0,0
engine_execution_alloc,service_restart_stable_handle,1,0,0,,,,,,237,22460,0,0
engine_execution_alloc,tiny_yield_chain,1,0,0,,,,,,102,11796,0,0
engine_execution_alloc,trace_default,100,99,0,,,,,,5262,533272,0,0
engine_execution_alloc,trace_observer,100,99,0,,,,,,5262,533272,0,0
fixture_generation,graph_chain,1,0,20,352,371,537,352,555,0,0,0,0
fixture_generation,graph_chain,10,9,20,1907,1945,2167,1907,2167,0,0,0,0
fixture_generation,graph_chain,100,99,20,23519,23852,24112,23519,24222,0,0,0,0
fixture_generation,graph_chain,1000,999,20,148908,149491,150667,148908,157705,0,0,0,0
fixture_generation,graph_sparse,1,0,20,296,352,463,296,685,0,0,0,0
fixture_generation,graph_sparse,10,9,20,1907,1926,2000,1907,2074,0,0,0,0
fixture_generation,graph_sparse,100,99,20,15741,15990,16351,15741,16352,0,0,0,0
fixture_generation,graph_sparse,1000,999,20,149482,149880,150482,149482,166593,0,0,0,0
fixture_generation,graph_wide,1,0,20,296,333,500,296,518,0,0,0,0
fixture_generation,graph_wide,10,9,20,1907,1926,2019,1907,2056,0,0,0,0
fixture_generation,graph_wide,100,99,20,15666,16092,16278,15666,21185,0,0,0,0
fixture_generation,graph_wide,1000,999,20,148870,149269,149963,148870,155593,0,0,0,0
fixture_generation,tiny_yield_chain,1,0,20,203,204,519,203,2833,0,0,0,0
machine_state_setup,graph_chain,1,0,40,500,518,630,481,889,0,0,0,0
machine_state_setup,graph_chain,10,9,40,2556,2676,2926,2518,7648,0,0,0,0
machine_state_setup,graph_chain,100,99,40,13500,13657,17019,13444,17481,0,0,0,0
machine_state_setup,graph_chain,1000,999,40,148815,154186,166760,148463,217019,0,0,0,0
machine_state_setup,graph_sparse,1,0,40,500,518,611,481,703,0,0,0,0
machine_state_setup,graph_sparse,10,9,40,2538,2667,3056,2537,6871,0,0,0,0
machine_state_setup,graph_sparse,100,99,40,13481,13611,18019,13407,24093,0,0,0,0
machine_state_setup,graph_sparse,1000,999,40,149501,156028,174334,149186,200871,0,0,0,0
machine_state_setup,graph_wide,1,0,40,500,519,685,481,722,0,0,0,0
machine_state_setup,graph_wide,10,9,40,2537,2685,2926,2518,7074,0,0,0,0
machine_state_setup,graph_wide,100,99,40,13333,13648,18370,13296,32222,0,0,0,0
machine_state_setup,graph_wide,1000,999,40,151630,157824,182111,151296,221927,0,0,0,0
machine_state_setup,tiny_yield_chain,1,0,40,351,389,500,351,1093,0,0,0,0
plan_build,component_repeated_typed_10,10,10,20,38630,39547,44260,38630,53222,0,0,0,0
plan_build,component_repeated_typed_100,100,100,20,392001,396149,410816,392001,435890,0,0,0,0
plan_build,component_repeated_typed_2,2,2,20,9537,9879,12593,9537,30408,0,0,0,0
plan_build,graph_chain,1,0,20,3445,3556,4463,3445,9593,0,0,0,0
plan_build,graph_chain,10,9,20,19759,20676,23315,19759,26463,0,0,0,0
plan_build,graph_chain,100,99,20,203130,206084,215408,203130,220056,0,0,0,0
plan_build,graph_chain,1000,999,20,4314328,4345874,4395421,4314328,4568033,0,0,0,0
plan_build,graph_sparse,1,0,20,3815,3916,4500,3815,6648,0,0,0,0
plan_build,graph_sparse,10,9,20,18408,18648,20297,18408,26501,0,0,0,0
plan_build,graph_sparse,100,99,20,137686,139000,151112,137686,177667,0,0,0,0
plan_build,graph_sparse,1000,999,20,4593829,4618875,4674292,4593829,4794996,0,0,0,0
plan_build,graph_wide,1,0,20,3815,3889,4389,3815,8037,0,0,0,0
plan_build,graph_wide,10,9,20,18593,18963,21019,18593,25852,0,0,0,0
plan_build,graph_wide,100,99,20,140111,140870,146167,140111,157704,0,0,0,0
plan_build,graph_wide,1000,999,20,5036571,5053145,5247072,5036571,5306868,0,0,0,0
plan_build,tiny_yield_chain,1,0,20,2574,2750,4056,2574,45630,0,0,0,0
plan_build_alloc,component_repeated_typed_10,10,10,0,,,,,,460,93857,0,0
plan_build_alloc,component_repeated_typed_100,100,100,0,,,,,,3876,811413,0,0
plan_build_alloc,component_repeated_typed_2,2,2,0,,,,,,134,19601,0,0
plan_build_alloc,graph_chain,1,0,0,,,,,,36,6762,0,0
plan_build_alloc,graph_chain,10,9,0,,,,,,162,35553,0,0
plan_build_alloc,graph_chain,100,99,0,,,,,,1269,306567,0,0
plan_build_alloc,graph_chain,1000,999,0,,,,,,12096,2543619,0,0
plan_build_alloc,graph_sparse,1,0,0,,,,,,36,6764,0,0
plan_build_alloc,graph_sparse,10,9,0,,,,,,158,35427,0,0
plan_build_alloc,graph_sparse,100,99,0,,,,,,1220,305001,0,0
plan_build_alloc,graph_sparse,1000,999,0,,,,,,11597,2527653,0,0
plan_build_alloc,graph_wide,1,0,0,,,,,,36,6760,0,0
plan_build_alloc,graph_wide,10,9,0,,,,,,156,35487,0,0
plan_build_alloc,graph_wide,100,99,0,,,,,,1176,305413,0,0
plan_build_alloc,graph_wide,1000,999,0,,,,,,11106,2528001,0,0
plan_build_alloc,tiny_yield_chain,1,0,0,,,,,,36,6762,0,0
plan_declaration,graph_chain,1,0,20,1574,1676,2000,1574,2500,0,0,0,0
plan_declaration,graph_chain,10,9,20,9112,9370,9944,9112,10333,0,0,0,0
plan_declaration,graph_chain,100,99,20,70260,70880,72204,70260,72741,0,0,0,0
plan_declaration,graph_chain,1000,999,20,455223,459445,470780,455223,476223,0,0,0,0
plan_declaration,graph_sparse,1,0,20,1759,1806,1889,1759,2000,0,0,0,0
plan_declaration,graph_sparse,10,9,20,9075,9398,9592,9075,9833,0,0,0,0
plan_declaration,graph_sparse,100,99,20,46871,47231,49037,46871,50037,0,0,0,0
plan_declaration,graph_sparse,1000,999,20,429760,432140,441223,429760,441761,0,0,0,0
plan_declaration,graph_wide,1,0,20,1741,1796,2241,1741,29963,0,0,0,0
plan_declaration,graph_wide,10,9,20,9111,9277,9537,9111,9944,0,0,0,0
plan_declaration,graph_wide,100,99,20,46723,46907,48555,46723,52222,0,0,0,0
plan_declaration,graph_wide,1000,999,20,419612,422492,443501,419612,444724,0,0,0,0
plan_declaration,tiny_yield_chain,1,0,20,1148,1195,1333,1148,2593,0,0,0,0
plan_declaration_alloc,graph_chain,1,0,0,,,,,,16,2178,0,0
plan_declaration_alloc,graph_chain,10,9,0,,,,,,71,14196,0,0
plan_declaration_alloc,graph_chain,100,99,0,,,,,,536,126952,0,0
plan_declaration_alloc,graph_chain,1000,999,0,,,,,,5051,1046640,0,0
plan_declaration_alloc,graph_sparse,1,0,0,,,,,,16,2179,0,0
plan_declaration_alloc,graph_sparse,10,9,0,,,,,,71,14197,0,0
plan_declaration_alloc,graph_sparse,100,99,0,,,,,,536,126953,0,0
plan_declaration_alloc,graph_sparse,1000,999,0,,,,,,5051,1046641,0,0
plan_declaration_alloc,graph_wide,1,0,0,,,,,,16,2177,0,0
plan_declaration_alloc,graph_wide,10,9,0,,,,,,71,14195,0,0
plan_declaration_alloc,graph_wide,100,99,0,,,,,,536,126951,0,0
plan_declaration_alloc,graph_wide,1000,999,0,,,,,,5051,1046639,0,0
plan_declaration_alloc,tiny_yield_chain,1,0,0,,,,,,16,2178,0,0
plan_validation_freeze,graph_chain,1,0,20,2574,2676,2777,2574,2833,0,0,0,0
plan_validation_freeze,graph_chain,10,9,20,12167,12472,12926,12167,13037,0,0,0,0
plan_validation_freeze,graph_chain,100,99,20,149871,150926,151964,149871,156112,0,0,0,0
plan_validation_freeze,graph_chain,1000,999,20,3983586,4012225,4030272,3983586,4043420,0,0,0,0
plan_validation_freeze,graph_sparse,1,0,20,2555,2611,2722,2555,2759,0,0,0,0
plan_validation_freeze,graph_sparse,10,9,20,11240,11324,11908,11240,12130,0,0,0,0
plan_validation_freeze,graph_sparse,100,99,20,102167,102981,111370,102167,211667,0,0,0,0
plan_validation_freeze,graph_sparse,1000,999,20,4286032,4300819,4317569,4286032,4327939,0,0,0,0
plan_validation_freeze,graph_wide,1,0,20,2611,2657,2778,2611,3944,0,0,0,0
plan_validation_freeze,graph_wide,10,9,20,11407,11555,11648,11407,11945,0,0,0,0
plan_validation_freeze,graph_wide,100,99,20,104463,104944,106315,104463,106723,0,0,0,0
plan_validation_freeze,graph_wide,1000,999,20,4731848,4747921,4787422,4731848,4838349,0,0,0,0
plan_validation_freeze,tiny_yield_chain,1,0,20,1703,1741,1833,1703,1944,0,0,0,0
plan_validation_freeze_alloc,graph_chain,1,0,0,,,,,,20,4584,0,0
plan_validation_freeze_alloc,graph_chain,10,9,0,,,,,,91,21357,0,0
plan_validation_freeze_alloc,graph_chain,100,99,0,,,,,,733,179615,0,0
plan_validation_freeze_alloc,graph_chain,1000,999,0,,,,,,7045,1496979,0,0
plan_validation_freeze_alloc,graph_sparse,1,0,0,,,,,,20,4585,0,0
plan_validation_freeze_alloc,graph_sparse,10,9,0,,,,,,87,21230,0,0
plan_validation_freeze_alloc,graph_sparse,100,99,0,,,,,,684,178048,0,0
plan_validation_freeze_alloc,graph_sparse,1000,999,0,,,,,,6546,1481012,0,0
plan_validation_freeze_alloc,graph_wide,1,0,0,,,,,,20,4583,0,0
plan_validation_freeze_alloc,graph_wide,10,9,0,,,,,,85,21292,0,0
plan_validation_freeze_alloc,graph_wide,100,99,0,,,,,,640,178462,0,0
plan_validation_freeze_alloc,graph_wide,1000,999,0,,,,,,6055,1481362,0,0
plan_validation_freeze_alloc,tiny_yield_chain,1,0,0,,,,,,20,4584,0,0
pure_machine_events_preseeded,graph_chain,1,0,40,2722,2778,3166,2722,5186,0,0,0,0
pure_machine_events_preseeded,graph_chain,10,9,40,21537,21972,22759,21426,26278,0,0,0,0
pure_machine_events_preseeded,graph_chain,100,99,40,264260,265658,273260,263260,307890,0,0,0,0
pure_machine_events_preseeded,graph_chain,1000,999,40,22689607,22828542,23002719,22619051,24044778,0,0,0,0
representative_application,application_hash_handwritten,10,9,40,1222,1241,1241,1222,1667,0,0,0,0
representative_application,application_hash_handwritten,100,99,40,13296,13315,13352,13296,18649,0,0,0,0
representative_application,application_hash_sdax,10,9,40,63759,64426,65722,63555,70092,0,0,0,0
representative_application,application_hash_sdax,100,99,40,791206,793697,802873,790428,919891,0,0,0,0
representative_application_alloc,application_hash_sdax,10,9,0,,,,,,575,47357,0,0
representative_application_alloc,application_hash_sdax,100,99,0,,,,,,5262,536429,0,0
