phase,workload,nodes,edges,samples,p05_ns,median_ns,p95_ns,min_ns,max_ns,allocations,allocated_bytes,peak_live_bytes,retained_bytes
adapter_setup,current_thread_runtime,0,0,40,1815,2074,2240,1796,45704,0,0,0,0
body_state_setup,graph_chain,1,0,40,333,371,444,333,611,0,0,0,0
body_state_setup,graph_chain,10,9,40,314,333,389,314,462,0,0,0,0
body_state_setup,graph_chain,100,99,40,2759,2908,3074,2723,3389,0,0,0,0
body_state_setup,graph_chain,1000,999,40,2444,2555,3593,2444,4945,0,0,0,0
body_state_setup,graph_sparse,1,0,40,333,352,481,333,556,0,0,0,0
body_state_setup,graph_sparse,10,9,40,315,333,352,314,444,0,0,0,0
body_state_setup,graph_sparse,100,99,40,2870,2963,3130,2815,3667,0,0,0,0
body_state_setup,graph_sparse,1000,999,40,2519,2648,3648,2500,5166,0,0,0,0
body_state_setup,graph_wide,1,0,40,333,352,463,315,574,0,0,0,0
body_state_setup,graph_wide,10,9,40,315,334,352,314,463,0,0,0,0
body_state_setup,graph_wide,100,99,40,2777,2954,3167,2686,3519,0,0,0,0
body_state_setup,graph_wide,1000,999,40,2537,2685,3592,2537,5296,0,0,0,0
body_state_setup,tiny_yield_chain,1,0,40,334,398,555,333,1352,0,0,0,0
engine_execution,component_flat,10,9,40,62278,62972,63666,62167,63870,0,0,0,0
engine_execution,component_flat,100,99,40,770002,772678,779262,769336,780706,0,0,0,0
engine_execution,component_nested,13,12,40,89982,91111,92204,89926,124630,0,0,0,0
engine_execution,component_nested,103,102,40,942429,946863,954688,942188,987762,0,0,0,0
engine_execution,component_repeated_typed_10,10,10,40,141852,143713,145037,141797,150371,0,0,0,0
engine_execution,component_repeated_typed_100,100,100,40,2667490,2679212,2694786,2664193,2782527,0,0,0,0
engine_execution,component_repeated_typed_2,2,2,40,29167,29685,30277,28889,31056,0,0,0,0
engine_execution,dynamic_live_instances_1,3,2,40,67871,68806,70278,67538,77667,0,0,0,0
engine_execution,dynamic_live_instances_10,3,2,40,529798,532603,541613,529669,542224,0,0,0,0
engine_execution,dynamic_live_instances_100,3,2,40,9707863,9995604,10851181,9698141,14197933,0,0,0,0
engine_execution,dynamic_sequential_churn_1,2,1,40,60186,61000,62148,60093,73334,0,0,0,0
engine_execution,dynamic_sequential_churn_10,2,1,40,391168,394001,450446,390983,475409,0,0,0,0
engine_execution,dynamic_sequential_churn_100,2,1,40,3632381,3675214,4000050,3630992,4140013,0,0,0,0
engine_execution,effect_known_receipt,1,0,40,16129,16491,16871,15963,17019,0,0,0,0
engine_execution,effect_unknown_recovery_failed,1,0,40,17407,17592,17852,17371,18352,0,0,0,0
