phase,workload,nodes,edges,sample,nanos,allocations,allocated_bytes,peak_live_bytes,retained_bytes,checksum
lifecycle_sdax,normal_release,2,1,0,34926,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,1,34796,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,2,35093,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,3,34722,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,4,34945,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,5,33334,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,6,34629,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,7,34074,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,8,34333,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,9,33186,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,10,34055,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,11,33796,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,12,34056,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,13,34518,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,14,34019,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,15,34611,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,16,35148,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,17,32686,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,18,34741,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,19,34629,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,20,34296,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,21,34407,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,22,34723,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,23,35056,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,24,34019,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,25,34796,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,26,34500,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,27,34556,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,28,34629,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,29,34334,0,0,0,0,8618
