phase,workload,nodes,edges,samples,p05_ns,median_ns,p95_ns,min_ns,max_ns,allocations,allocated_bytes,peak_live_bytes,retained_bytes
lifecycle_sdax,cancel_after_acquisition,1,0,40,29592,30046,30666,29278,30815,0,0,0,0
lifecycle_sdax,downstream_cleanup_failure,3,2,40,54129,54991,55963,53796,81037,0,0,0,0
lifecycle_sdax,normal_release,2,1,40,33186,34509,35111,32686,35148,0,0,0,0
lifecycle_sdax,partial_startup_failure,2,1,40,35666,36620,38203,34926,47481,0,0,0,0
lifecycle_sdax_alloc,cancel_after_acquisition,1,0,0,,,,,,175,16885,10187,0
lifecycle_sdax_alloc,downstream_cleanup_failure,3,2,0,,,,,,327,27639,13821,0
lifecycle_sdax_alloc,normal_release,2,1,0,,,,,,206,19845,11391,0
lifecycle_sdax_alloc,partial_startup_failure,2,1,0,,,,,,222,21696,11866,0
lifecycle_tokio,cancel_after_acquisition,1,0,40,3334,3408,3500,3333,3556,0,0,0,0
lifecycle_tokio,downstream_cleanup_failure,3,2,40,6278,6445,6611,6259,6778,0,0,0,0
lifecycle_tokio,normal_release,2,1,40,3722,3778,3852,3685,3889,0,0,0,0
lifecycle_tokio,partial_startup_failure,2,1,40,4241,4389,4537,4129,4556,0,0,0,0
lifecycle_tokio_alloc,cancel_after_acquisition,1,0,0,,,,,,6,688,400,0
lifecycle_tokio_alloc,downstream_cleanup_failure,3,2,0,,,,,,16,1743,535,0
lifecycle_tokio_alloc,normal_release,2,1,0,,,,,,5,856,296,0
lifecycle_tokio_alloc,partial_startup_failure,2,1,0,,,,,,14,1180,516,0
