phase,workload,nodes,edges,sample,nanos,allocations,allocated_bytes,peak_live_bytes,retained_bytes,checksum
lifecycle_tokio,normal_release,2,1,0,4093,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,1,4130,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,2,4056,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,3,4130,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,4,4056,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,5,4019,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,6,4148,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,7,4167,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,8,4130,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,9,4129,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,10,4129,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,11,4018,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,12,4112,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,13,4148,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,14,4000,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,15,4018,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,16,4037,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,17,4037,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,18,4092,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,19,4129,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,20,4093,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,21,4148,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,22,4111,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,23,4130,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,24,3981,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,25,4130,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,26,4111,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,27,4074,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,28,4074,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,29,4018,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,30,4149,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,31,4111,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,32,4074,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,33,4148,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,34,4130,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,35,4019,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,36,4037,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,37,3945,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,38,4111,0,0,0,0,8618
lifecycle_tokio,normal_release,2,1,39,4074,0,0,0,0,8618
lifecycle_tokio_alloc,normal_release,2,1,0,0,5,856,296,0,8618
lifecycle_tokio_alloc,normal_release,2,1,1,0,5,856,296,0,8618
lifecycle_tokio_alloc,normal_release,2,1,2,0,5,856,296,0,8618
lifecycle_tokio_alloc,normal_release,2,1,3,0,5,856,296,0,8618
lifecycle_tokio_alloc,normal_release,2,1,4,0,5,856,296,0,8618
lifecycle_sdax,normal_release,2,1,0,38055,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,1,37926,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,2,37592,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,3,37000,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,4,36592,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,5,36593,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,6,37092,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,7,36833,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,8,36574,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,9,36907,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,10,36463,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,11,36222,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,12,36926,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,13,37389,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,14,96259,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,15,40723,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,16,37648,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,17,36648,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,18,37333,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,19,37648,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,20,35722,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,21,37408,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,22,36630,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,23,37519,0,0,0,0,8618
lifecycle_sdax,normal_release,2,1,24,37019,0,0,0,0,8618
