phase,workload,nodes,edges,samples,p05_ns,median_ns,p95_ns,min_ns,max_ns,allocations,allocated_bytes,peak_live_bytes,retained_bytes
lifecycle_sdax,cancel_after_acquisition,1,0,40,29537,29981,31111,29463,39796,0,0,0,0
lifecycle_sdax,downstream_cleanup_failure,3,2,40,53241,55009,57055,53130,64426,0,0,0,0
lifecycle_sdax,normal_release,2,1,40,36019,36963,38055,35722,96259,0,0,0,0
lifecycle_sdax,partial_startup_failure,2,1,40,36074,36611,40371,36037,40574,0,0,0,0
lifecycle_sdax_alloc,cancel_after_acquisition,1,0,0,,,,,,175,16885,10187,0
lifecycle_sdax_alloc,downstream_cleanup_failure,3,2,0,,,,,,327,27639,13821,0
lifecycle_sdax_alloc,normal_release,2,1,0,,,,,,206,19845,11391,0
lifecycle_sdax_alloc,partial_startup_failure,2,1,0,,,,,,222,21696,11866,0
lifecycle_tokio,cancel_after_acquisition,1,0,40,3352,3444,3555,3333,3574,0,0,0,0
lifecycle_tokio,downstream_cleanup_failure,3,2,40,6204,6398,6500,6203,6518,0,0,0,0
lifecycle_tokio,normal_release,2,1,40,3981,4102,4148,3945,4167,0,0,0,0
lifecycle_tokio,partial_startup_failure,2,1,40,4518,4685,4815,4500,4870,0,0,0,0
lifecycle_tokio_alloc,cancel_after_acquisition,1,0,0,,,,,,6,688,400,0
lifecycle_tokio_alloc,downstream_cleanup_failure,3,2,0,,,,,,16,1743,535,0
lifecycle_tokio_alloc,normal_release,2,1,0,,,,,,5,856,296,0
lifecycle_tokio_alloc,partial_startup_failure,2,1,0,,,,,,14,1180,516,0
