phase,workload,nodes,edges,sample,nanos,allocations,allocated_bytes,peak_live_bytes,retained_bytes,checksum
adapter_setup,current_thread_runtime,0,0,0,45926,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,1,2019,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,2,1815,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,3,1815,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,4,1889,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,5,1815,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,6,1797,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,7,1759,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,8,1871,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,9,1908,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,10,2185,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,11,2278,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,12,2186,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,13,2093,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,14,2056,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,15,2130,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,16,2000,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,17,1963,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,18,2000,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,19,2111,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,20,2555,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,21,1945,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,22,2000,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,23,1981,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,24,2037,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,25,1981,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,26,2037,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,27,1981,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,28,2000,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,29,2093,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,30,2093,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,31,1982,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,32,2093,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,33,1926,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,34,2093,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,35,2000,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,36,2167,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,37,2018,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,38,2093,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,39,1981,0,0,0,0,0
fixture_generation,graph_chain,1,0,0,1204,0,0,0,0,5
fixture_generation,graph_chain,1,0,1,296,0,0,0,0,5
fixture_generation,graph_chain,1,0,2,241,0,0,0,0,5
fixture_generation,graph_chain,1,0,3,259,0,0,0,0,5
fixture_generation,graph_chain,1,0,4,240,0,0,0,0,5
fixture_generation,graph_chain,1,0,5,241,0,0,0,0,5
