phase,workload,nodes,edges,samples,p05_ns,median_ns,p95_ns,min_ns,max_ns,allocations,allocated_bytes,peak_live_bytes,retained_bytes
adapter_setup,current_thread_runtime,0,0,40,1797,2000,2278,1759,45926,0,0,0,0
body_state_setup,graph_chain,1,0,40,333,371,444,333,574,0,0,0,0
body_state_setup,graph_chain,10,9,40,315,334,370,314,500,0,0,0,0
body_state_setup,graph_chain,100,99,40,2815,2926,3259,2796,3537,0,0,0,0
body_state_setup,graph_chain,1000,999,40,2482,2676,4204,2481,6093,0,0,0,0
body_state_setup,graph_sparse,1,0,40,333,352,481,314,593,0,0,0,0
body_state_setup,graph_sparse,10,9,40,315,333,371,314,482,0,0,0,0
body_state_setup,graph_sparse,100,99,40,2778,2945,3074,2778,3592,0,0,0,0
body_state_setup,graph_sparse,1000,999,40,2518,2648,4204,2482,6037,0,0,0,0
body_state_setup,graph_wide,1,0,40,333,370,481,333,500,0,0,0,0
body_state_setup,graph_wide,10,9,40,314,333,389,314,463,0,0,0,0
body_state_setup,graph_wide,100,99,40,2759,2982,3259,2740,3870,0,0,0,0
body_state_setup,graph_wide,1000,999,40,2519,2666,3963,2519,5907,0,0,0,0
body_state_setup,tiny_yield_chain,1,0,40,352,389,445,333,519,0,0,0,0
engine_execution,component_flat,10,9,40,62518,63333,64500,61945,69519,0,0,0,0
engine_execution,component_flat,100,99,40,773966,777632,785835,772465,788947,0,0,0,0
engine_execution,component_nested,13,12,40,90389,91648,92648,90296,97222,0,0,0,0
engine_execution,component_nested,103,102,40,955725,961104,968022,954633,969485,0,0,0,0
engine_execution,component_repeated_typed_10,10,10,40,143519,145009,146648,143500,151741,0,0,0,0
engine_execution,component_repeated_typed_100,100,100,40,2673785,2685128,2726249,2673619,2819546,0,0,0,0
engine_execution,component_repeated_typed_2,2,2,40,29371,29805,30796,29352,30870,0,0,0,0
engine_execution,dynamic_live_instances_1,3,2,40,68593,69240,70723,68574,77464,0,0,0,0
engine_execution,dynamic_live_instances_10,3,2,40,530854,533307,540964,530594,542705,0,0,0,0
engine_execution,dynamic_live_instances_100,3,2,40,9689955,9761020,10287346,9687788,10800347,0,0,0,0
engine_execution,dynamic_sequential_churn_1,2,1,40,60167,61408,62778,60148,71908,0,0,0,0
engine_execution,dynamic_sequential_churn_10,2,1,40,391890,394408,400835,391853,403724,0,0,0,0
engine_execution,dynamic_sequential_churn_100,2,1,40,3634419,3646465,3680289,3629104,3815659,0,0,0,0
engine_execution,effect_known_receipt,1,0,40,16222,16444,16686,16093,17278,0,0,0,0
engine_execution,effect_unknown_recovery_failed,1,0,40,17537,17722,17944,17463,18093,0,0,0,0
