phase,workload,nodes,edges,sample,nanos,allocations,allocated_bytes,peak_live_bytes,retained_bytes,checksum
adapter_setup,current_thread_runtime,0,0,0,71741,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,1,3278,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,2,2889,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,3,2963,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,4,3093,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,5,3370,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,6,2907,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,7,2833,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,8,2944,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,9,2907,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,10,3093,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,11,3296,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,12,3445,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,13,3778,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,14,3463,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,15,3222,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,16,3870,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,17,3352,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,18,3463,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,19,3889,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,20,3315,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,21,3352,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,22,3223,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,23,3166,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,24,3186,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,25,3315,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,26,3223,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,27,3370,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,28,3314,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,29,3259,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,30,3388,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,31,3240,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,32,3334,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,33,3240,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,34,3333,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,35,3278,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,36,3186,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,37,3278,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,38,3222,0,0,0,0,0
adapter_setup,current_thread_runtime,0,0,39,3240,0,0,0,0,0
fixture_generation,graph_chain,1,0,0,629,0,0,0,0,5
fixture_generation,graph_chain,1,0,1,463,0,0,0,0,5
fixture_generation,graph_chain,1,0,2,370,0,0,0,0,5
fixture_generation,graph_chain,1,0,3,444,0,0,0,0,5
fixture_generation,graph_chain,1,0,4,370,0,0,0,0,5
fixture_generation,graph_chain,1,0,5,389,0,0,0,0,5
fixture_generation,graph_chain,1,0,6,371,0,0,0,0,5
fixture_generation,graph_chain,1,0,7,408,0,0,0,0,5
fixture_generation,graph_chain,1,0,8,371,0,0,0,0,5
fixture_generation,graph_chain,1,0,9,389,0,0,0,0,5
fixture_generation,graph_chain,1,0,10,370,0,0,0,0,5
fixture_generation,graph_chain,1,0,11,407,0,0,0,0,5
fixture_generation,graph_chain,1,0,12,371,0,0,0,0,5
