phase,workload,nodes,edges,samples,p05_ns,median_ns,p95_ns,min_ns,max_ns,allocations,allocated_bytes,peak_live_bytes,retained_bytes
adapter_setup,current_thread_runtime,0,0,40,2889,3278,3870,2833,71741,0,0,0,0
body_state_setup,graph_chain,1,0,40,555,611,907,519,1760,0,0,0,0
body_state_setup,graph_chain,10,9,40,518,555,630,518,1259,0,0,0,0
body_state_setup,graph_chain,100,99,40,2778,3000,3296,2760,3685,0,0,0,0
body_state_setup,graph_chain,1000,999,40,2445,2593,3389,2426,4852,0,0,0,0
body_state_setup,graph_sparse,1,0,40,537,593,704,519,907,0,0,0,0
body_state_setup,graph_sparse,10,9,40,574,676,834,518,1000,0,0,0,0
body_state_setup,graph_sparse,100,99,40,2815,2917,3074,2759,3444,0,0,0,0
body_state_setup,graph_sparse,1000,999,40,2556,2740,3630,2555,6982,0,0,0,0
body_state_setup,graph_wide,1,0,40,537,593,815,537,963,0,0,0,0
body_state_setup,graph_wide,10,9,40,518,556,740,518,1259,0,0,0,0
body_state_setup,graph_wide,100,99,40,2722,2935,3148,2667,3889,0,0,0,0
body_state_setup,graph_wide,1000,999,40,2482,2648,4352,2463,7278,0,0,0,0
body_state_setup,tiny_yield_chain,1,0,40,352,407,555,352,593,0,0,0,0
engine_execution,component_flat,10,9,40,61889,62991,63667,61871,73333,0,0,0,0
engine_execution,component_flat,100,99,40,770169,773558,782150,769669,785651,0,0,0,0
engine_execution,component_nested,13,12,40,90112,90981,92482,89352,96833,0,0,0,0
engine_execution,component_nested,103,102,40,943003,946586,953669,942558,954392,0,0,0,0
engine_execution,component_repeated_typed_10,10,10,40,144241,145704,146722,144149,150204,0,0,0,0
engine_execution,component_repeated_typed_100,100,100,40,2674878,2685721,2697082,2672545,2709101,0,0,0,0
engine_execution,component_repeated_typed_2,2,2,40,29056,29704,30241,28945,30686,0,0,0,0
engine_execution,dynamic_live_instances_1,3,2,40,67519,68074,69834,67445,76741,0,0,0,0
engine_execution,dynamic_live_instances_10,3,2,40,531186,534150,541076,531057,558298,0,0,0,0
engine_execution,dynamic_live_instances_100,3,2,40,9681900,9744621,9899252,9654122,10260291,0,0,0,0
engine_execution,dynamic_sequential_churn_1,2,1,40,59481,60712,62796,59481,75223,0,0,0,0
engine_execution,dynamic_sequential_churn_10,2,1,40,389131,390816,400446,388741,407186,0,0,0,0
engine_execution,dynamic_sequential_churn_100,2,1,40,3621826,3632223,3653918,3621400,3655418,0,0,0,0
engine_execution,effect_known_receipt,1,0,40,16092,16416,17111,16074,23760,0,0,0,0
engine_execution,effect_unknown_recovery_failed,1,0,40,17592,17759,17963,17556,23982,0,0,0,0
engine_execution,effect_unknown_recovery_resolved,1,0,40,16334,16630,17370,16222,17815,0,0,0,0
engine_execution,graph_chain,1,0,40,17296,17713,18445,17278,18778,0,0,0,0
engine_execution,graph_chain,10,9,40,100167,101954,103445,100130,133241,0,0,0,0
engine_execution,graph_chain,100,99,40,912873,1227577,1262356,764076,1312948,0,0,0,0
engine_execution,graph_chain,1000,999,40,34332029,35495607,38536356,34260732,42195257,0,0,0,0
engine_execution,graph_sparse,1,0,40,17556,17917,18444,17537,18481,0,0,0,0
engine_execution,graph_sparse,10,9,40,99075,100296,102260,99019,122426,0,0,0,0
engine_execution,graph_sparse,100,99,40,710428,713650,719725,709502,728114,0,0,0,0
engine_execution,graph_sparse,1000,999,40,26576969,26817339,27709657,26537783,29088273,0,0,0,0
engine_execution,graph_wide,1,0,40,17500,17889,18666,17500,18852,0,0,0,0
engine_execution,graph_wide,10,9,40,97519,98639,101130,97445,107649,0,0,0,0
engine_execution,graph_wide,100,99,40,655409,659548,665076,654817,667816,0,0,0,0
engine_execution,graph_wide,1000,999,40,18969390,19202261,20018597,18968409,22586623,0,0,0,0
engine_execution,resident_ready_shutdown,1,0,40,16722,17139,17519,16519,17796,0,0,0,0
engine_execution,resource_cancel_after_acquire,1,0,40,19092,19547,20926,19000,30463,0,0,0,0
engine_execution,resource_cleanup_error_upstream,3,1,40,34556,34879,35277,34482,35982,0,0,0,0
engine_execution,resource_normal,2,1,40,22519,22759,23000,22518,23315,0,0,0,0
engine_execution,resource_release_failure,2,1,40,23778,24065,24352,23592,25130,0,0,0,0
engine_execution,resource_startup_failure,2,1,40,23463,23685,24204,23463,38834,0,0,0,0
engine_execution,retry_one_failure,1,0,40,16500,16852,17185,16371,17426,0,0,0,0
engine_execution,service_restart_exhausted,1,0,40,19315,19537,19889,19186,20222,0,0,0,0
engine_execution,service_restart_stable_handle,1,0,40,26000,26472,26963,26000,27055,0,0,0,0
engine_execution,tiny_yield_chain,1,0,40,11370,11518,11611,11315,11852,0,0,0,0
engine_execution,trace_default,100,99,40,770706,774196,782392,770187,784651,0,0,0,0
engine_execution,trace_observer,100,99,40,775558,778373,791669,775392,799817,0,0,0,0
engine_execution_alloc,component_flat,10,9,0,,,,,,575,47080,0,0
engine_execution_alloc,component_flat,100,99,0,,,,,,5262,533272,0,0
engine_execution_alloc,component_nested,13,12,0,,,,,,858,62385,0,0
engine_execution_alloc,component_nested,103,102,0,,,,,,6535,665937,0,0
engine_execution_alloc,component_repeated_typed_10,10,10,0,,,,,,1408,99870,0,0
engine_execution_alloc,component_repeated_typed_100,100,100,0,,,,,,22569,1497230,0,0
engine_execution_alloc,component_repeated_typed_2,2,2,0,,,,,,306,25590,0,0
engine_execution_alloc,dynamic_live_instances_1,3,2,0,,,,,,615,63231,0,0
engine_execution_alloc,dynamic_live_instances_10,3,2,0,,,,,,4382,470925,0,0
engine_execution_alloc,dynamic_live_instances_100,3,2,0,,,,,,68263,5172559,0,0
engine_execution_alloc,dynamic_sequential_churn_1,2,1,0,,,,,,538,52749,0,0
engine_execution_alloc,dynamic_sequential_churn_10,2,1,0,,,,,,3495,324339,0,0
engine_execution_alloc,dynamic_sequential_churn_100,2,1,0,,,,,,32982,2932143,0,0
engine_execution_alloc,effect_known_receipt,1,0,0,,,,,,152,15266,0,0
engine_execution_alloc,effect_unknown_recovery_failed,1,0,0,,,,,,154,16091,0,0
engine_execution_alloc,effect_unknown_recovery_resolved,1,0,0,,,,,,147,15403,0,0
engine_execution_alloc,graph_chain,1,0,0,,,,,,102,11796,0,0
engine_execution_alloc,graph_chain,10,9,0,,,,,,575,47080,0,0
engine_execution_alloc,graph_chain,100,99,0,,,,,,5262,533272,0,0
engine_execution_alloc,graph_chain,1000,999,0,,,,,,52069,19679208,0,0
engine_execution_alloc,graph_sparse,1,0,0,,,,,,102,11797,0,0
engine_execution_alloc,graph_sparse,10,9,0,,,,,,567,48041,0,0
engine_execution_alloc,graph_sparse,100,99,0,,,,,,5166,514425,0,0
engine_execution_alloc,graph_sparse,1000,999,0,,,,,,51109,15933385,0,0
engine_execution_alloc,graph_wide,1,0,0,,,,,,102,11795,0,0
engine_execution_alloc,graph_wide,10,9,0,,,,,,558,48999,0,0
engine_execution_alloc,graph_wide,100,99,0,,,,,,4990,488503,0,0
engine_execution_alloc,graph_wide,1000,999,0,,,,,,49164,12018743,0,0
engine_execution_alloc,resource_cleanup_error_upstream,3,1,0,,,,,,317,26719,0,0
engine_execution_alloc,resource_normal,2,1,0,,,,,,205,19770,0,0
engine_execution_alloc,resource_release_failure,2,1,0,,,,,,215,20513,0,0
engine_execution_alloc,resource_startup_failure,2,1,0,,,,,,212,20817,0,0
engine_execution_alloc,retry_one_failure,1,0,0,,,,,,155,15433,0,0
engine_execution_alloc,service_restart_exhausted,1,0,0,,,,,,185,17964,0,0
engine_execution_alloc,service_restart_stable_handle,1,0,0,,,,,,237,22460,0,0
