phase,workload,nodes,edges,sample,nanos,allocations,allocated_bytes,checksum
adapter_setup,current_thread_runtime,0,0,0,3100,0,0,0
adapter_setup,current_thread_runtime,0,0,1,1300,0,0,0
adapter_setup,current_thread_runtime,0,0,2,1100,0,0,0
adapter_setup,current_thread_runtime,0,0,3,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,4,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,5,1100,0,0,0
adapter_setup,current_thread_runtime,0,0,6,1100,0,0,0
adapter_setup,current_thread_runtime,0,0,7,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,8,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,9,1100,0,0,0
adapter_setup,current_thread_runtime,0,0,10,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,11,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,12,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,13,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,14,1300,0,0,0
adapter_setup,current_thread_runtime,0,0,15,1200,0,0,0
adapter_setup,current_thread_runtime,0,0,16,1200,0,0,0
adapter_setup,current_thread_runtime,0,0,17,1200,0,0,0
adapter_setup,current_thread_runtime,0,0,18,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,19,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,20,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,21,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,22,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,23,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,24,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,25,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,26,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,27,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,28,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,29,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,30,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,31,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,32,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,33,1200,0,0,0
adapter_setup,current_thread_runtime,0,0,34,1100,0,0,0
adapter_setup,current_thread_runtime,0,0,35,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,36,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,37,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,38,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,39,1000,0,0,0
fixture_generation,graph_chain,1,0,0,200,0,0,5
fixture_generation,graph_chain,1,0,1,200,0,0,5
fixture_generation,graph_chain,1,0,2,200,0,0,5
fixture_generation,graph_chain,1,0,3,200,0,0,5
fixture_generation,graph_chain,1,0,4,200,0,0,5
fixture_generation,graph_chain,1,0,5,200,0,0,5
fixture_generation,graph_chain,1,0,6,100,0,0,5
fixture_generation,graph_chain,1,0,7,100,0,0,5
fixture_generation,graph_chain,1,0,8,100,0,0,5
fixture_generation,graph_chain,1,0,9,100,0,0,5
fixture_generation,graph_chain,1,0,10,100,0,0,5
fixture_generation,graph_chain,1,0,11,100,0,0,5
fixture_generation,graph_chain,1,0,12,100,0,0,5
fixture_generation,graph_chain,1,0,13,100,0,0,5
fixture_generation,graph_chain,1,0,14,200,0,0,5
fixture_generation,graph_chain,1,0,15,100,0,0,5
fixture_generation,graph_chain,1,0,16,100,0,0,5
fixture_generation,graph_chain,1,0,17,200,0,0,5
fixture_generation,graph_chain,1,0,18,100,0,0,5
fixture_generation,graph_chain,1,0,19,100,0,0,5
plan_build,graph_chain,1,0,0,1500,0,0,11
plan_build,graph_chain,1,0,1,700,0,0,11
plan_build,graph_chain,1,0,2,700,0,0,11
plan_build,graph_chain,1,0,3,500,0,0,11
plan_build,graph_chain,1,0,4,600,0,0,11
plan_build,graph_chain,1,0,5,700,0,0,11
plan_build,graph_chain,1,0,6,600,0,0,11
plan_build,graph_chain,1,0,7,600,0,0,11
plan_build,graph_chain,1,0,8,500,0,0,11
plan_build,graph_chain,1,0,9,500,0,0,11
plan_build,graph_chain,1,0,10,500,0,0,11
plan_build,graph_chain,1,0,11,500,0,0,11
plan_build,graph_chain,1,0,12,600,0,0,11
plan_build,graph_chain,1,0,13,800,0,0,11
plan_build,graph_chain,1,0,14,900,0,0,11
plan_build,graph_chain,1,0,15,1000,0,0,11
plan_build,graph_chain,1,0,16,500,0,0,11
plan_build,graph_chain,1,0,17,500,0,0,11
plan_build,graph_chain,1,0,18,600,0,0,11
plan_build,graph_chain,1,0,19,500,0,0,11
plan_build_alloc,graph_chain,1,0,0,0,13,2317,11
engine_execution,graph_chain,1,0,0,5800,0,0,1
engine_execution,graph_chain,1,0,1,5700,0,0,0
engine_execution,graph_chain,1,0,2,6000,0,0,3
engine_execution,graph_chain,1,0,3,6000,0,0,2
engine_execution,graph_chain,1,0,4,5900,0,0,5
engine_execution,graph_chain,1,0,5,6000,0,0,4
engine_execution,graph_chain,1,0,6,5900,0,0,7
engine_execution,graph_chain,1,0,7,8000,0,0,6
engine_execution,graph_chain,1,0,8,7100,0,0,9
engine_execution,graph_chain,1,0,9,6100,0,0,8
engine_execution,graph_chain,1,0,10,5900,0,0,11
engine_execution,graph_chain,1,0,11,6100,0,0,10
engine_execution,graph_chain,1,0,12,6000,0,0,13
engine_execution,graph_chain,1,0,13,5900,0,0,12
engine_execution,graph_chain,1,0,14,6000,0,0,15
engine_execution,graph_chain,1,0,15,5800,0,0,14
engine_execution,graph_chain,1,0,16,6000,0,0,17
engine_execution,graph_chain,1,0,17,5800,0,0,16
engine_execution,graph_chain,1,0,18,5700,0,0,19
engine_execution,graph_chain,1,0,19,5500,0,0,18
engine_execution,graph_chain,1,0,20,5600,0,0,21
engine_execution,graph_chain,1,0,21,5500,0,0,20
engine_execution,graph_chain,1,0,22,5900,0,0,23
engine_execution,graph_chain,1,0,23,5700,0,0,22
engine_execution,graph_chain,1,0,24,5800,0,0,25
engine_execution,graph_chain,1,0,25,5600,0,0,24
engine_execution,graph_chain,1,0,26,5700,0,0,27
engine_execution,graph_chain,1,0,27,5600,0,0,26
engine_execution,graph_chain,1,0,28,5700,0,0,29
engine_execution,graph_chain,1,0,29,5600,0,0,28
engine_execution,graph_chain,1,0,30,5600,0,0,31
engine_execution,graph_chain,1,0,31,5800,0,0,30
engine_execution,graph_chain,1,0,32,5600,0,0,33
engine_execution,graph_chain,1,0,33,5800,0,0,32
engine_execution,graph_chain,1,0,34,5800,0,0,35
engine_execution,graph_chain,1,0,35,5600,0,0,34
engine_execution,graph_chain,1,0,36,5600,0,0,37
engine_execution,graph_chain,1,0,37,5900,0,0,36
engine_execution,graph_chain,1,0,38,5800,0,0,39
engine_execution,graph_chain,1,0,39,5600,0,0,38
engine_execution_alloc,graph_chain,1,0,0,0,110,15148,23131
machine_state_setup,graph_chain,1,0,0,1100,0,0,1
body_state_setup,graph_chain,1,0,0,400,0,0,0
machine_state_setup,graph_chain,1,0,1,600,0,0,1
body_state_setup,graph_chain,1,0,1,200,0,0,0
machine_state_setup,graph_chain,1,0,2,600,0,0,1
body_state_setup,graph_chain,1,0,2,300,0,0,0
machine_state_setup,graph_chain,1,0,3,500,0,0,1
body_state_setup,graph_chain,1,0,3,200,0,0,0
machine_state_setup,graph_chain,1,0,4,500,0,0,1
body_state_setup,graph_chain,1,0,4,200,0,0,0
machine_state_setup,graph_chain,1,0,5,600,0,0,1
body_state_setup,graph_chain,1,0,5,300,0,0,0
machine_state_setup,graph_chain,1,0,6,600,0,0,1
body_state_setup,graph_chain,1,0,6,200,0,0,0
machine_state_setup,graph_chain,1,0,7,500,0,0,1
body_state_setup,graph_chain,1,0,7,200,0,0,0
machine_state_setup,graph_chain,1,0,8,500,0,0,1
body_state_setup,graph_chain,1,0,8,200,0,0,0
machine_state_setup,graph_chain,1,0,9,600,0,0,1
body_state_setup,graph_chain,1,0,9,300,0,0,0
machine_state_setup,graph_chain,1,0,10,600,0,0,1
body_state_setup,graph_chain,1,0,10,200,0,0,0
machine_state_setup,graph_chain,1,0,11,500,0,0,1
body_state_setup,graph_chain,1,0,11,200,0,0,0
machine_state_setup,graph_chain,1,0,12,500,0,0,1
body_state_setup,graph_chain,1,0,12,300,0,0,0
machine_state_setup,graph_chain,1,0,13,500,0,0,1
body_state_setup,graph_chain,1,0,13,200,0,0,0
machine_state_setup,graph_chain,1,0,14,600,0,0,1
body_state_setup,graph_chain,1,0,14,300,0,0,0
machine_state_setup,graph_chain,1,0,15,600,0,0,1
body_state_setup,graph_chain,1,0,15,300,0,0,0
machine_state_setup,graph_chain,1,0,16,500,0,0,1
body_state_setup,graph_chain,1,0,16,200,0,0,0
machine_state_setup,graph_chain,1,0,17,700,0,0,1
body_state_setup,graph_chain,1,0,17,200,0,0,0
machine_state_setup,graph_chain,1,0,18,600,0,0,1
body_state_setup,graph_chain,1,0,18,300,0,0,0
machine_state_setup,graph_chain,1,0,19,1000,0,0,1
body_state_setup,graph_chain,1,0,19,400,0,0,0
machine_state_setup,graph_chain,1,0,20,1100,0,0,1
body_state_setup,graph_chain,1,0,20,600,0,0,0
machine_state_setup,graph_chain,1,0,21,700,0,0,1
body_state_setup,graph_chain,1,0,21,300,0,0,0
machine_state_setup,graph_chain,1,0,22,800,0,0,1
body_state_setup,graph_chain,1,0,22,200,0,0,0
machine_state_setup,graph_chain,1,0,23,600,0,0,1
body_state_setup,graph_chain,1,0,23,200,0,0,0
machine_state_setup,graph_chain,1,0,24,500,0,0,1
body_state_setup,graph_chain,1,0,24,200,0,0,0
machine_state_setup,graph_chain,1,0,25,500,0,0,1
