phase,workload,nodes,edges,samples,median_ns,p95_ns,min_ns,max_ns,allocations,allocated_bytes
adapter_setup,current_thread_runtime,0,0,40,1000,1300,1000,3100,0,0
body_state_setup,graph_chain,1,0,40,200,400,200,600,0,0
body_state_setup,graph_chain,10,9,40,300,400,200,600,0,0
body_state_setup,graph_chain,100,99,40,600,700,500,900,0,0
body_state_setup,graph_chain,1000,999,40,5950,9400,1700,23500,0,0
body_state_setup,graph_sparse,1,0,40,200,300,200,500,0,0
body_state_setup,graph_sparse,10,9,40,300,400,200,700,0,0
body_state_setup,graph_sparse,100,99,40,650,1000,500,2100,0,0
body_state_setup,graph_sparse,1000,999,40,1700,2400,1500,6700,0,0
body_state_setup,graph_wide,1,0,40,200,300,200,500,0,0
body_state_setup,graph_wide,10,9,40,300,400,200,900,0,0
body_state_setup,graph_wide,100,99,40,700,800,500,900,0,0
body_state_setup,graph_wide,1000,999,40,1800,7700,1500,12100,0,0
body_state_setup,tiny_yield_chain,1,0,40,200,300,200,300,0,0
engine_execution,component_flat,10,9,40,31650,32500,31100,36500,0,0
engine_execution,component_flat,100,99,40,351200,376100,345500,402600,0,0
engine_execution,component_nested,13,12,40,44050,45400,43600,48100,0,0
engine_execution,component_nested,103,102,40,405900,426800,400700,463800,0,0
engine_execution,dynamic_live_instances_1,3,2,40,28400,29400,27800,31200,0,0
engine_execution,dynamic_live_instances_10,3,2,40,220050,228300,216400,238300,0,0
engine_execution,dynamic_live_instances_100,3,2,40,5138100,5713300,4523400,5979700,0,0
engine_execution,effect_known_receipt,1,0,40,7700,8000,7500,8200,0,0
engine_execution,graph_chain,1,0,40,5800,6100,5500,8000,0,0
engine_execution,graph_chain,10,9,40,33650,41300,31900,42600,0,0
engine_execution,graph_chain,100,99,40,503300,545900,452000,559800,0,0
engine_execution,graph_chain,1000,999,40,12959600,13310700,12725800,13602600,0,0
engine_execution,graph_sparse,1,0,40,5700,7200,5500,7500,0,0
engine_execution,graph_sparse,10,9,40,37100,42400,30900,47000,0,0
engine_execution,graph_sparse,100,99,40,457600,513000,414900,523800,0,0
engine_execution,graph_sparse,1000,999,40,10911450,11697500,10657800,11846000,0,0
engine_execution,graph_wide,1,0,40,5700,5800,5400,5900,0,0
engine_execution,graph_wide,10,9,40,32550,38300,30600,41700,0,0
engine_execution,graph_wide,100,99,40,416550,460200,393700,517100,0,0
engine_execution,graph_wide,1000,999,40,10300900,10646600,10002300,11105200,0,0
engine_execution,resident_ready_shutdown,1,0,40,8200,8500,8000,13200,0,0
engine_execution,resource_cancel_after_acquire,1,0,40,8500,11300,8300,19500,0,0
engine_execution,resource_cleanup_error_upstream,3,1,40,16000,16900,15600,17300,0,0
engine_execution,resource_normal,2,1,40,10400,10600,10100,18400,0,0
engine_execution,resource_release_failure,2,1,40,10850,11300,10600,14600,0,0
engine_execution,resource_startup_failure,2,1,40,10700,10900,10400,11000,0,0
engine_execution,retry_one_failure,1,0,40,8000,8200,7700,8200,0,0
engine_execution,tiny_yield_chain,1,0,40,5300,5500,5200,5500,0,0
engine_execution,trace_default,100,99,40,350700,363700,345700,367100,0,0
engine_execution,trace_observer,100,99,40,349350,363900,346200,370100,0,0
engine_execution_alloc,component_flat,10,9,0,,,,,654,66045
engine_execution_alloc,component_flat,100,99,0,,,,,5983,769191
engine_execution_alloc,component_nested,13,12,0,,,,,983,82379
engine_execution_alloc,component_nested,103,102,0,,,,,7482,838445
engine_execution_alloc,dynamic_live_instances_1,3,2,0,,,,,604,56109
engine_execution_alloc,dynamic_live_instances_10,3,2,0,,,,,4361,400384
engine_execution_alloc,dynamic_live_instances_100,3,2,0,,,,,68512,6238670
engine_execution_alloc,effect_known_receipt,1,0,0,,,,,160,18493
engine_execution_alloc,graph_chain,1,0,0,,,,,110,15148
engine_execution_alloc,graph_chain,10,9,0,,,,,654,66045
engine_execution_alloc,graph_chain,100,99,0,,,,,5983,769191
engine_execution_alloc,graph_chain,1000,999,0,,,,,59102,28976427
engine_execution_alloc,graph_sparse,1,0,0,,,,,110,15150
engine_execution_alloc,graph_sparse,10,9,0,,,,,642,66879
engine_execution_alloc,graph_sparse,100,99,0,,,,,5838,748777
engine_execution_alloc,graph_sparse,1000,999,0,,,,,57643,25214637
engine_execution_alloc,graph_wide,1,0,0,,,,,110,15146
engine_execution_alloc,graph_wide,10,9,0,,,,,631,67899
engine_execution_alloc,graph_wide,100,99,0,,,,,5618,723269
engine_execution_alloc,graph_wide,1000,999,0,,,,,55207,21300345
engine_execution_alloc,resource_cleanup_error_upstream,3,1,0,,,,,337,30130
engine_execution_alloc,resource_normal,2,1,0,,,,,219,23058
engine_execution_alloc,resource_release_failure,2,1,0,,,,,229,23817
engine_execution_alloc,resource_startup_failure,2,1,0,,,,,226,24110
engine_execution_alloc,retry_one_failure,1,0,0,,,,,165,18872
engine_execution_alloc,tiny_yield_chain,1,0,0,,,,,110,15148
engine_execution_alloc,trace_default,100,99,0,,,,,5983,769191
engine_execution_alloc,trace_observer,100,99,0,,,,,5983,769191
fixture_generation,graph_chain,1,0,20,100,200,100,200,0,0
fixture_generation,graph_chain,10,9,20,800,900,700,900,0,0
fixture_generation,graph_chain,100,99,20,6900,7200,6800,7400,0,0
fixture_generation,graph_chain,1000,999,20,67950,71000,67000,77500,0,0
fixture_generation,graph_sparse,1,0,20,200,300,100,500,0,0
fixture_generation,graph_sparse,10,9,20,800,900,700,1000,0,0
fixture_generation,graph_sparse,100,99,20,6900,7100,6800,7100,0,0
fixture_generation,graph_sparse,1000,999,20,65400,66900,63500,72900,0,0
fixture_generation,graph_wide,1,0,20,150,200,100,200,0,0
fixture_generation,graph_wide,10,9,20,800,800,700,900,0,0
fixture_generation,graph_wide,100,99,20,6900,7000,6800,7100,0,0
fixture_generation,graph_wide,1000,999,20,63700,67700,63300,76300,0,0
fixture_generation,tiny_yield_chain,1,0,20,200,400,100,1200,0,0
machine_state_setup,graph_chain,1,0,40,500,1000,400,1100,0,0
machine_state_setup,graph_chain,10,9,40,3400,3700,3200,4800,0,0
machine_state_setup,graph_chain,100,99,40,62450,71100,58700,90900,0,0
machine_state_setup,graph_chain,1000,999,40,602700,722600,251200,749800,0,0
machine_state_setup,graph_sparse,1,0,40,500,800,400,1000,0,0
machine_state_setup,graph_sparse,10,9,40,3100,4300,2900,7600,0,0
machine_state_setup,graph_sparse,100,99,40,70050,83800,62800,104100,0,0
machine_state_setup,graph_sparse,1000,999,40,347000,484200,324300,652800,0,0
machine_state_setup,graph_wide,1,0,40,500,700,400,1000,0,0
machine_state_setup,graph_wide,10,9,40,3450,6200,2900,8800,0,0
machine_state_setup,graph_wide,100,99,40,54150,60900,52800,79700,0,0
machine_state_setup,graph_wide,1000,999,40,441050,750700,427500,931200,0,0
machine_state_setup,tiny_yield_chain,1,0,40,500,600,400,1000,0,0
plan_build,graph_chain,1,0,20,600,1000,500,1500,0,0
plan_build,graph_chain,10,9,20,2400,3100,2300,4700,0,0
plan_build,graph_chain,100,99,20,34950,59000,25200,59600,0,0
plan_build,graph_chain,1000,999,20,1018250,1176200,769200,1182600,0,0
plan_build,graph_sparse,1,0,20,500,600,500,1000,0,0
plan_build,graph_sparse,10,9,20,2400,2600,2200,3500,0,0
plan_build,graph_sparse,100,99,20,24650,30500,24200,41800,0,0
plan_build,graph_sparse,1000,999,20,783300,1025400,765800,1058100,0,0
plan_build,graph_wide,1,0,20,600,700,500,1300,0,0
plan_build,graph_wide,10,9,20,2400,2900,2300,3800,0,0
plan_build,graph_wide,100,99,20,25400,58800,24200,62100,0,0
plan_build,graph_wide,1000,999,20,773700,813200,763600,1013200,0,0
plan_build,tiny_yield_chain,1,0,20,500,1200,400,9200,0,0
plan_build_alloc,graph_chain,1,0,0,,,,,13,2317
plan_build_alloc,graph_chain,10,9,0,,,,,57,14266
plan_build_alloc,graph_chain,100,99,0,,,,,429,126588
plan_build_alloc,graph_chain,1000,999,0,,,,,4041,1049104
plan_build_alloc,graph_sparse,1,0,0,,,,,13,2318
plan_build_alloc,graph_sparse,10,9,0,,,,,57,14267
plan_build_alloc,graph_sparse,100,99,0,,,,,429,126589
plan_build_alloc,graph_sparse,1000,999,0,,,,,4041,1049105
plan_build_alloc,graph_wide,1,0,0,,,,,13,2316
plan_build_alloc,graph_wide,10,9,0,,,,,57,14265
plan_build_alloc,graph_wide,100,99,0,,,,,429,126587
plan_build_alloc,graph_wide,1000,999,0,,,,,4041,1049103
plan_build_alloc,tiny_yield_chain,1,0,0,,,,,13,2317
pure_machine_events_preseeded,graph_chain,1,0,40,1000,1900,900,3200,0,0
pure_machine_events_preseeded,graph_chain,10,9,40,7900,11800,7700,17300,0,0
pure_machine_events_preseeded,graph_chain,100,99,40,120300,124600,117600,129200,0,0
pure_machine_events_preseeded,graph_chain,1000,999,40,6783250,6894900,6672600,6940600,0,0
representative_application,application_hash_handwritten,10,9,40,600,600,500,600,0,0
representative_application,application_hash_handwritten,100,99,40,6200,6200,6100,11200,0,0
representative_application,application_hash_sdax,10,9,40,30600,31200,30000,36400,0,0
representative_application,application_hash_sdax,100,99,40,355850,384300,348100,427100,0,0
representative_application_alloc,application_hash_sdax,10,9,0,,,,,654,66354
representative_application_alloc,application_hash_sdax,100,99,0,,,,,5983,772740
