phase,workload,nodes,edges,sample,nanos,allocations,allocated_bytes,checksum
adapter_setup,current_thread_runtime,0,0,0,2500,0,0,0
adapter_setup,current_thread_runtime,0,0,1,1600,0,0,0
adapter_setup,current_thread_runtime,0,0,2,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,3,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,4,900,0,0,0
adapter_setup,current_thread_runtime,0,0,5,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,6,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,7,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,8,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,9,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,10,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,11,900,0,0,0
adapter_setup,current_thread_runtime,0,0,12,900,0,0,0
adapter_setup,current_thread_runtime,0,0,13,900,0,0,0
adapter_setup,current_thread_runtime,0,0,14,2000,0,0,0
adapter_setup,current_thread_runtime,0,0,15,1500,0,0,0
adapter_setup,current_thread_runtime,0,0,16,1200,0,0,0
adapter_setup,current_thread_runtime,0,0,17,1300,0,0,0
adapter_setup,current_thread_runtime,0,0,18,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,19,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,20,900,0,0,0
adapter_setup,current_thread_runtime,0,0,21,900,0,0,0
adapter_setup,current_thread_runtime,0,0,22,900,0,0,0
adapter_setup,current_thread_runtime,0,0,23,900,0,0,0
adapter_setup,current_thread_runtime,0,0,24,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,25,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,26,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,27,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,28,900,0,0,0
adapter_setup,current_thread_runtime,0,0,29,900,0,0,0
adapter_setup,current_thread_runtime,0,0,30,900,0,0,0
adapter_setup,current_thread_runtime,0,0,31,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,32,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,33,1100,0,0,0
adapter_setup,current_thread_runtime,0,0,34,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,35,900,0,0,0
adapter_setup,current_thread_runtime,0,0,36,900,0,0,0
adapter_setup,current_thread_runtime,0,0,37,900,0,0,0
adapter_setup,current_thread_runtime,0,0,38,1000,0,0,0
adapter_setup,current_thread_runtime,0,0,39,1000,0,0,0
fixture_generation,graph_chain,1,0,0,300,0,0,5
fixture_generation,graph_chain,1,0,1,200,0,0,5
fixture_generation,graph_chain,1,0,2,100,0,0,5
fixture_generation,graph_chain,1,0,3,100,0,0,5
fixture_generation,graph_chain,1,0,4,200,0,0,5
fixture_generation,graph_chain,1,0,5,200,0,0,5
fixture_generation,graph_chain,1,0,6,100,0,0,5
fixture_generation,graph_chain,1,0,7,100,0,0,5
fixture_generation,graph_chain,1,0,8,200,0,0,5
fixture_generation,graph_chain,1,0,9,100,0,0,5
fixture_generation,graph_chain,1,0,10,100,0,0,5
fixture_generation,graph_chain,1,0,11,200,0,0,5
fixture_generation,graph_chain,1,0,12,100,0,0,5
fixture_generation,graph_chain,1,0,13,100,0,0,5
fixture_generation,graph_chain,1,0,14,100,0,0,5
fixture_generation,graph_chain,1,0,15,200,0,0,5
fixture_generation,graph_chain,1,0,16,100,0,0,5
fixture_generation,graph_chain,1,0,17,100,0,0,5
fixture_generation,graph_chain,1,0,18,200,0,0,5
fixture_generation,graph_chain,1,0,19,100,0,0,5
plan_build,graph_chain,1,0,0,4400,0,0,11
plan_build,graph_chain,1,0,1,1900,0,0,11
plan_build,graph_chain,1,0,2,1500,0,0,11
plan_build,graph_chain,1,0,3,1500,0,0,11
plan_build,graph_chain,1,0,4,1300,0,0,11
plan_build,graph_chain,1,0,5,1600,0,0,11
plan_build,graph_chain,1,0,6,1400,0,0,11
plan_build,graph_chain,1,0,7,1700,0,0,11
plan_build,graph_chain,1,0,8,1600,0,0,11
plan_build,graph_chain,1,0,9,1600,0,0,11
plan_build,graph_chain,1,0,10,1700,0,0,11
plan_build,graph_chain,1,0,11,1600,0,0,11
plan_build,graph_chain,1,0,12,1400,0,0,11
plan_build,graph_chain,1,0,13,1600,0,0,11
plan_build,graph_chain,1,0,14,1400,0,0,11
plan_build,graph_chain,1,0,15,1500,0,0,11
plan_build,graph_chain,1,0,16,1400,0,0,11
plan_build,graph_chain,1,0,17,1300,0,0,11
plan_build,graph_chain,1,0,18,1300,0,0,11
plan_build,graph_chain,1,0,19,1400,0,0,11
plan_build_alloc,graph_chain,1,0,0,0,36,6722,11
engine_execution,graph_chain,1,0,0,5300,0,0,1
engine_execution,graph_chain,1,0,1,5300,0,0,0
engine_execution,graph_chain,1,0,2,5300,0,0,3
engine_execution,graph_chain,1,0,3,5300,0,0,2
engine_execution,graph_chain,1,0,4,5100,0,0,5
engine_execution,graph_chain,1,0,5,5300,0,0,4
engine_execution,graph_chain,1,0,6,5100,0,0,7
engine_execution,graph_chain,1,0,7,5300,0,0,6
engine_execution,graph_chain,1,0,8,5200,0,0,9
engine_execution,graph_chain,1,0,9,5300,0,0,8
engine_execution,graph_chain,1,0,10,5400,0,0,11
engine_execution,graph_chain,1,0,11,5200,0,0,10
engine_execution,graph_chain,1,0,12,5300,0,0,13
engine_execution,graph_chain,1,0,13,5200,0,0,12
engine_execution,graph_chain,1,0,14,5100,0,0,15
engine_execution,graph_chain,1,0,15,5200,0,0,14
engine_execution,graph_chain,1,0,16,5200,0,0,17
engine_execution,graph_chain,1,0,17,5200,0,0,16
engine_execution,graph_chain,1,0,18,5200,0,0,19
engine_execution,graph_chain,1,0,19,5200,0,0,18
engine_execution,graph_chain,1,0,20,5200,0,0,21
engine_execution,graph_chain,1,0,21,5100,0,0,20
engine_execution,graph_chain,1,0,22,5200,0,0,23
engine_execution,graph_chain,1,0,23,5300,0,0,22
engine_execution,graph_chain,1,0,24,5200,0,0,25
engine_execution,graph_chain,1,0,25,5200,0,0,24
engine_execution,graph_chain,1,0,26,5400,0,0,27
engine_execution,graph_chain,1,0,27,5200,0,0,26
engine_execution,graph_chain,1,0,28,5300,0,0,29
engine_execution,graph_chain,1,0,29,5200,0,0,28
engine_execution,graph_chain,1,0,30,6700,0,0,31
engine_execution,graph_chain,1,0,31,5700,0,0,30
engine_execution,graph_chain,1,0,32,5500,0,0,33
engine_execution,graph_chain,1,0,33,5500,0,0,32
engine_execution,graph_chain,1,0,34,5500,0,0,35
engine_execution,graph_chain,1,0,35,6200,0,0,34
engine_execution,graph_chain,1,0,36,5600,0,0,37
engine_execution,graph_chain,1,0,37,5500,0,0,36
engine_execution,graph_chain,1,0,38,5400,0,0,39
